resolvedTraitName;resolvedName;datasetId
scaled functional response for tW1 data at 05 d;1;amp
scaled functional response for tW1 data at 10 d;1;amp
scaled functional response for tW1 data at 15 d;1;amp
scaled functional response for tW1 data at 20 d;1;amp
scaled functional response for tW1 data at 25 d;1;amp
scaled functional response for tW1 data at 30 d;1;amp
shape coefficient for snout-to-vent length;1;amp
shape coefficient for total length;1;amp
shape coefficient for males;1;amp
maturity at puberty for females;1;amp
shape coefficient for tadpole;1;amp
shape coefficient for toad;1;amp
maturity at puberty for P.a.g.;1;amp
scaled functional response for tW data at 35 d;1;amp
scaled functional response for tW data at 70 d;1;amp
del_M;1;amp
E_Hb;1;amp
E_Hj;1;amp
E_Hp;1;amp
"";2;amp |  https://opentraits.org/datasets/passerine-morphology
h_a;1;amp
k_J;1;amp
kap;1;amp
kap_P;1;amp
kap_R;1;amp
kap_X;1;amp
s_G;1;amp
T_A;1;amp
scaled func. response for 0-var data;1;amp
scaled funct. response for tL data;1;amp
scaled functional response for DomiLee1998 data;1;amp
scaled functional response for DomiLee1999 data;1;amp
scaled functional response for data1;1;amp
scaled functional response for data2;1;amp
scaled functional response for data3;1;amp
scaled functional response for data4;1;amp
scaled functional response for GreaGutj2011 data;1;amp
scaled functional response for Kuhn2001;1;amp
scaled functional response for McKe1987 food regime 1;1;amp
scaled functional response for McKe1987 food regime 2;1;amp
scaled functional response for McKe1987 food regime 3;1;amp
scaled functional response for McKe1987 food regime 4;1;amp
scaled functional response for ScarStee2017;1;amp
"shape coefficient in GreaGutj2011; measurement: tip of uropod to tip of antennal scale";1;amp
length at zero fot tL_f data;1;amp
length at zero fot tL_m data;1;amp
maturity at settlement;1;amp
scaled functional response for tL3 data;1;amp
scaled functional response for tL4 data;1;amp
time at start deveopment;1;amp
Wet weight at t=0 of tW data;1;amp
maturity at puberty fro males;1;amp
larval shape coefficient;1;amp
oral shape coefficient;1;amp
scaled functional response for LWw data;1;amp
scaled functional response for Lr data;1;amp
Arrhenius temperature for lower boundary;1;amp
Arrhenius temperature for upper boundary;1;amp
lower boundary temperature;1;amp
scaled functional response for 1-var tW data;1;amp
wieght at zero in tW data;1;amp
Intital weight in tW_m data;1;amp
weigth at time 0;1;amp
maturity at puberty form males;1;amp
scaled functional response for tLj data;1;amp
shape coefficient for leptocephali;1;amp
shape coefficient post metam;1;amp
time since March 1 at settlement;1;amp
shape coefficient for total weight;1;amp
shape coefficient for wet flesh;1;amp
shell ength at first time;1;amp
high Arrhenius temperature;1;amp
high temp boundary;1;amp
low Arrhenius temperature;1;amp
low temp boundary;1;amp
scaled functional response for tW1 data;1;amp
slow/fast parameter for foetal development;1;amp
scaled functional response for f_tL;1;amp
time at strat development;1;amp
shape coefficient for standard length;1;amp
Standard length at t = 0 in JoneHyne1950 data;1;amp
scaled functional response for tLr data;1;amp
maturity at start acceleration;1;amp
shape coefficient of larval stage;1;amp
zoom factor before start acceleration;1;amp
maturity at puberty female;1;amp
maturity at puberty male;1;amp
scaled functional response for Flowerdew;1;amp
scaled functional response for lab data;1;amp
zoom factor male;1;amp
scaled functional response for tW data at 000 d;1;amp
scaled functional response for tW data at 010 d;1;amp
scaled functional response for tW data at 020 d;1;amp
scaled functional response for tW data at 030 d;1;amp
scaled functional response for tW data at 040 d;1;amp
scaled functional response for tW data at 050 d;1;amp
scaled functional response for tW data at 060 d;1;amp
scaled functional response for tW data at 070 d;1;amp
scaled functional response for tW data at 080 d;1;amp
scaled functional response for tW data at 090 d;1;amp
scaled functional response for tW data at 100 d;1;amp
scaled functional response for tW data at 110 d;1;amp
scaled functional response for tW data at 120 d;1;amp
scaled functional response for tW data at 130 d;1;amp
scaled functional response for tW data at 140 d;1;amp
scaled functional response for tW data at 150 d;1;amp
scaled functional response for tW data at 160 d;1;amp
scaled functional response for tW data at 170 d;1;amp
scaled functional response for tW data at 180 d;1;amp
scaled functional response for tLJ data;1;amp
scaled functional response for tLM data;1;amp
scaled functional response for tLS data;1;amp
initial length of tL data;1;amp
initial length of tL1 data;1;amp
shape coerrection coefficient;1;amp
zoom factor;1;amp
length at 0 for tL_f data;1;amp
length at 0 for tL_m data;1;amp
scaled functional response for F3 food condition;1;amp
shape coefficient for experiment;1;amp
shape coefficient for field data;1;amp
zoom factor for males after puberty;1;amp
zoom factor for males before puberty;1;amp
shape coerrection factor;1;amp
scaled functional response for tW data at 40 d;1;amp
scaled functional response for tW data at 99 d;1;amp
scaled functional response for tW data at 80 d;1;amp
scaled functional response for tW data at 60 d;1;amp
maturity at trochophore larva stage;1;amp
scaled functional response for 1-var data of olive (fed);1;amp
scaled functional response for 1-var data of olive (unfed);1;amp
scaled functional response for de wilde data unfed;1;amp
scaled functional response for field;1;amp
shape coefficient for embryo (mean shape coeff. between time at fertilization and time at birth);1;amp
shape coefficient for trunk length;1;amp
shape coefficient for trunk length_dewilde;1;amp
maturity at metam for males;1;amp
scaled functional response for tL_R data;1;amp
scaled functional response fortL data;1;amp
scaled functional response for 1-var data (KR13);1;amp
scaled functional response for 1-var data (KR15);1;amp
scaled functional response for 1-var data (oxygen);1;amp
scaled functional response for 1-var data (reproduction);1;amp
scaled functional response for 1-var data (Vargas2014);1;amp
shape coefficient for egg diameter;1;amp
shape coefficient for embryo;1;amp
shape coefficient for yolk;1;amp
time are start development;1;amp
initial length for tL_2010 data;1;amp
initial length for tL_2011 data;1;amp
initial length for tL_2012 data;1;amp
initial length for tL_2013 data;1;amp
initial length for tL_spr data;1;amp
initial length for tL_sum data;1;amp
scaled functional response for tL_spr data;1;amp
scaled functional response for tL_sum data;1;amp
scaled functional response for tL201* data at 000 d;1;amp
scaled functional response for tL201* data at 100 d;1;amp
scaled functional response for tL201* data at 200 d;1;amp
scaled functional response for tL201* data at 300 d;1;amp
lower Arrhenius temperature;1;amp
lower boundary for Arrhenius temperature;1;amp
scaled functional response for 0-var and 1-var data;1;amp
shrinking stress coefficient;1;amp
scaled functional response for tL_AL data;1;amp
scaled functional response for tL_AR data;1;amp
scaled functional response for tL_OL data;1;amp
scaled functional response for tL_OO data;1;amp
scaled functional response for tL_OR data;1;amp
scaled functional response for LdL data;1;amp
NO2 stress coefficient;1;amp
scaled functional response at 120 paramecia/d;1;amp
scaled functional response at 20 paramecia/d;1;amp
scaled functional response at 240 paramecia/d;1;amp
scaled functional response at 30 paramecia/d;1;amp
scaled functional response at 60 paramecia/d;1;amp
scaled functional response for advanced hatched;1;amp
scaled functional response for Medjimurje data;1;amp
scaled functional response for naturally hatched;1;amp
scaled functional response for Otocac;1;amp
shape coefficient for carapace length;1;amp
shape coefficient for total length at hatching and birth;1;amp
scaled functional response for LWd data;1;amp
shape coefficient ar birth;1;amp
non-ash fraction for WdWd;1;amp
scaled functional response for LN data;1;amp
scaled functional response for mar data;1;amp
scaled functional response for oct data;1;amp
scaled functional response for TJO data;1;amp
scaled functional response fortW data;1;amp
scaled functional response for tL_20 data;1;amp
time 0 for tL_20_1 data;1;amp
time 0 for tL_20_2 data;1;amp
time 0 for tL_20_3 data;1;amp
time 0 for tL_80_4 data;1;amp
time 0 for tL_80_5 data;1;amp
time 0 for tL_80_6 data;1;amp
vol. length for tL_20_1 data;1;amp
vol. length for tL_20_2 data;1;amp
vol. length for tL_20_3 data;1;amp
vol. length for tL_80_4 data;1;amp
vol. length for tL_80_5 data;1;amp
vol. length for tL_80_6 data;1;amp
arm length at time zero in tL data;1;amp
zoom factor for cave morph;1;amp
scaled functional response for tW data at 0 d;1;amp
scaled functional response for tW data at 3 d;1;amp
scaled functional response for tW data at 5.5 d;1;amp
initial length in tL data;1;amp
scaled functional response for tW data at <10 d;1;amp
scaled functional response for tW data at >50 d;1;amp
intial length for tL_f data;1;amp
intial length for tL_m data;1;amp
scaled functional response for tL_16;1;amp
scaled functional response for tL_22;1;amp
intial length for tL_15 and tL_25 data;1;amp
intial length for tL_fld data;1;amp
scaled functional response for tL_15 data;1;amp
scaled functional response for tL_25 data;1;amp
scaled functional response for tL_fld data;1;amp
Arrhenius temperature at upper boundary;1;amp
scaled functional response for tL_16 data;1;amp
scaled functional response for tL_24 data;1;amp
scaled functional response for tL_28 data;1;amp
shape coefficient at settlement;1;amp
time at start development at T_ref;1;amp
lower boundary;1;amp
reproduction buffer density at emergence;1;amp
shape coefficient for imago;1;amp
shape coefficient for nymph;1;amp
time since birth at time zero;1;amp
minus(!) time at start development;1;amp
scaled functional response from birth to weaning;1;amp
shape coefficient at birth;1;amp
energy conductance post birth;1;amp
energy conductance pre birth;1;amp
maturity at puberty from  males;1;amp
wet weight for TJO data;1;amp
dry - ash free dry weight ratio;1;amp
scaled functional response for tLA data;1;amp
scaled functional response for tLC data;1;amp
initial weight of tW_fK data;1;amp
initial weight of tW_fO data;1;amp
scaled functional response for tW_*K data;1;amp
scaled functional response for tW_*O data;1;amp
scaled functional response for tW_*C data;1;amp
scaled functional response for tW_*F data;1;amp
scaled functional response for tL0 data;1;amp
initial length for tL_f1 data;1;amp
initial length for tL_f2 data;1;amp
initial length for tL_m1 data;1;amp
initial length for tL_m2 data;1;amp
scaled functional response for tL_f1 data;1;amp
scaled functional response for tL_f2 data;1;amp
scaled functional response for tL_m1 data;1;amp
scaled functional response for tL_m2 data;1;amp
scaled functional response for south coast;1;amp
scaled functional response for west coast;1;amp
scaled functional response for tL17 data;1;amp
scaled functional response for tL24 data;1;amp
shape coefficient for juveniles (tentaculate stage + transitional stage);1;amp
initial length for tL_1973 data;1;amp
initial length for tL_1974 data;1;amp
scaled functional response for tL_1973 data;1;amp
scaled functional response for tL_1974 data;1;amp
scaled reproduction buffer density;1;amp
spec decay rate of larval structure in pupa;1;amp
stress at instar 1: L_1^2/ L_b^2;1;amp
stress at instar 2: L_2^2/ L_1^2;1;amp
stress at instar 3: L_3^2/ L_2^2;1;amp
stress at instar 4: L_3^2/ L_2^2;1;amp
yield of silk on larval structure;1;amp
Arrhenius temperature  at upper boundary;1;amp
Arrhenius temperature at lower boundary;1;amp
embryo shape coefficient;1;amp
Lower boundary temperature;1;amp
sc. func. res.;1;amp
sc. func. res. BoucMoll2016;1;amp
sc. func. res. HopGrah1995;1;amp
shape coefficient total length;1;amp
Upper boundary temperature;1;amp
yolk shape coefficient;1;amp
digestion efficiency of milk;1;amp
scaled functional response for tL_f3 data;1;amp
scaled functional response for tL_m data;1;amp
shape coefficient for late juvenile/adult;1;amp
number of zooids at time 0;1;amp
scaled functional response for Tt2 data;1;amp
scaled functional response for tL_92 data;1;amp
scaled functional response for tL_93 data;1;amp
scaled functional response for tL_94 data;1;amp
scaled functional response for tLe_22 data;1;amp
scaled functional response for tLe_30 data;1;amp
scaled functional response for tW data at 08 d;1;amp
scaled functional response for tW data at 16 d;1;amp
scaled functional response for tW data at 24 d;1;amp
scaled functional response for tW data at 32 d;1;amp
scaled functional response for tW4 data;1;amp
lower temperature boundary;1;amp
upper temperature boundary;1;amp
initial length  for tL and tWw data;1;amp
scaled functional response for tL1 and tWw1 data;1;amp
scaled functional response for tW data at 13 d;1;amp
scaled functional response for tW data at 06 d;1;amp
scaled functional response for tW data at 55 d;1;amp
Arrhenius temperature for fast development;1;amp
scaled functional response for tL_20;1;amp
scaled functional response for tL_25;1;amp
shape coefficient for SVL;1;amp
scaled functional response for tL_C data;1;amp
scaled functional response for tL_K data;1;amp
scaled functional response for tL_P data;1;amp
scaled functional response for tW_m and tW_f data;1;amp
max spec searching rate;1;amp
spec cost for structure;1;amp
surf-spec somatic maint;1;amp
vol-spec somatic maint;1;amp
scaled functional response for tW data at 45 d;1;amp
scaled functional response for tW data at 65 d;1;amp
scaled functional response for tW data at 015 d;1;amp
scaled functional response for tWd larval data;1;amp
weight at time zero;1;amp
scaled functional response for tW data at <20 d;1;amp
scaled functional response for tW data at >60 d;1;amp
maturity at puberty for race B;1;amp
maturity at puberty for race CS;1;amp
maturity at puberty for race CT;1;amp
maturity at puberty for race E;1;amp
maturity at puberty for race G;1;amp
maturity at puberty for race I;1;amp
maturity at puberty for race L;1;amp
maturity at puberty for race M;1;amp
maturity at puberty for race N;1;amp
maturity at puberty for race P;1;amp
maturity at puberty for race S;1;amp
maturity at puberty for race SB;1;amp
zoom factor for race B;1;amp
zoom factor for race CS;1;amp
zoom factor for race CT;1;amp
zoom factor for race G;1;amp
zoom factor for race I;1;amp
zoom factor for race L;1;amp
zoom factor for race M;1;amp
zoom factor for race N;1;amp
zoom factor for race P;1;amp
zoom factor for race S;1;amp
zoom factor for race SB;1;amp
scaled functional response for tW data at 0000 d;1;amp
scaled functional response for tW data at 1000 d;1;amp
scaled functional response for tW data at 2000 d;1;amp
scaled functional response for tW data at 3000 d;1;amp
scaled functional response for tW data at 4000 d;1;amp
scaled functional response for tW data at 5000 d;1;amp
shape coefficient for head length;1;amp
scaled functional response for tL1 and tW1 data;1;amp
CCL shape coefficient of adults;1;amp
scaled functional response for 1-var data for captive reared;1;amp
SCL shape coefficient;1;amp
SCL shape coefficient of adults;1;amp
shape coefficient for Park1926 and HildHats1927;1;amp
time growth phase starts for embryo data;1;amp
shape coefficient for for curved carapace length;1;amp
shape coefficient for straight  carapace length;1;amp
zoom factor of NA population!;1;amp
initial energy in egg;1;amp
time at age zero for egg data;1;amp
time at start of development;1;amp
scaled functional response for tdW data;1;amp
scaled functional response for tL_Bosque data;1;amp
scaled functional response for tL_Pedro data;1;amp
scaled functional response for tW_P83 data;1;amp
scaled functional response for tW_PC81 data;1;amp
scaled functional response for tW_PC82 data;1;amp
scaled functional response for tW_PC83 data;1;amp
scaled functional response for tW data after puberty;1;amp
scaled functional response for tW data till puberty;1;amp
scaled functional response for tWw_d data;1;amp
scaled functional response for tWw_f data;1;amp
scaled functional response for tWw_m data at 2500 d;1;amp
scaled functional response for tWw_m data till 1400 d;1;amp
fraction that is lardar carcas weight of total weight;1;amp
initial lardar carcas weight for female;1;amp
initial lardar carcas weight for male;1;amp
tarra for total wet weight for conversion to larder carcass weight;1;amp
factor for foetal development;1;amp
scaled functional response for tW data at <30 d;1;amp
initial weight for tW data;1;amp
conversion efficiency E -> V -> E;1;amp
conversion efficiency from larval reserve to larval structure;1;amp
initial time for tW-data;1;amp
scaled functional response for tL-data;1;amp
shape coefficient for total lenth;1;amp
shape coefficient for females;1;amp
scaled functional response for tL and LWw data;1;amp
scaled functional response for clutch B;1;amp
scaled functional response for clutch F;1;amp
scaled functional response for clutch H;1;amp
scaled functional response for clutch X;1;amp
scaled functional response for Li_ref data;1;amp
scaled functional response for Ningaloo juvenile and adult data;1;amp
shape coefficient CCL;1;amp
shape coefficient SCL;1;amp
yolk dry to wet mass ratio;1;amp
scaled functional response for Tull data;1;amp
scaled functional response for Tung data;1;amp
shape coeffient;1;amp
"zoom factor; for male";1;amp
background hazard rate coefficient;1;amp
sc. funct. res.  0.1 mg tetramin per ind;1;amp
sc. funct. res.  0.2 mg tetramin per ind;1;amp
sc. funct. res.  0.3 mg tetramin per ind;1;amp
sc. funct. res.  0.4 mg tetramin per ind;1;amp
scaled functional response for 0-var and ad libitum data;1;amp
scaled functional response for respiration data;1;amp
shape coefficient for larva length;1;amp
upper boundary;1;amp
scaled functional response for tW data at 14 d;1;amp
scaled functional response for tW data at 19 d;1;amp
scaled functional response for tL & tW data at 15 m deep;1;amp
scaled functional response for tL & tW data at 30 m deep;1;amp
shell height at first data point for grp 1;1;amp
shell height at first data point for grp 2;1;amp
scaled functional response for tW1 data at 03 d;1;amp
scaled functional response for tW1 data at 08 d;1;amp
scaled functional response for tW1 data at 35 d;1;amp
Arrhenius temperature 5th instar and higher;1;amp
Arrhenius temperature at upper boundary 5th instar and higher;1;amp
Arrhenius temperature at upper boundary egg;1;amp
Arrhenius temperature egg;1;amp
time of start development at 20 C;1;amp
upper boundary 5th instar and higher;1;amp
upper boundary egg;1;amp
T_AH;1;amp
T_AL;1;amp
T_H;1;amp
T_L;1;amp
scaled functional response for tL_2 data;1;amp
scaled functional response for tL_5 data;1;amp
scaled functional response for tW data at 75 d;1;amp
scaled functional response for tW data at 90 d;1;amp
mol C per algal cell;1;amp
scaled functional response for WdJO data;1;amp
spec contribution of tunic to dry weight;1;amp
shape coefficient for operculum;1;amp
shape coefficient for shell diameter;1;amp
background hazard rate (Wage2015);1;amp
initial length tL (gaia2016;1;amp
initial length tL_c (gaia2016;1;amp
initial length tL_w (gaia2016;1;amp
initial length tS (Wage2015);1;amp
lower boundary  temperature;1;amp
scaled functional response (Wage2015);1;amp
scaled functional response for Cian1979 data;1;amp
scaled functional response for gaia2019 data;1;amp
scaled functional response for GuptMich1993 data;1;amp
scaled functional response for Swee2018 data;1;amp
scaled functional response for tL data (gaia2016 semifield summer);1;amp
scaled functional response for tL data (gaia2016 semifield winter;1;amp
scaled functional response for tL data (gaia2016);1;amp
shape coefficient for (sub)imago;1;amp
shape coefficient for egg;1;amp
shape coefficient for wing length;1;amp
stress at instar 4: L_4^2/ L_3^2;1;amp
stress at instar 5: L_5^2/ L_4^2;1;amp
stress at instar 6: L_6^2/ L_5^2;1;amp
stress at instar 7 (N1): L_7^2/ L_6^2;1;amp
stress at instar 8 (N2): L_8^2/ L_7^2;1;amp
time since birth at start of experiment (Cian1979);1;amp
time since birth at start of experiment (gaia2019);1;amp
time since birth at time zero (gaia2016);1;amp
scaled functional response for LW data;1;amp
scaled functional response for tL_N data;1;amp
scaled functional response for tL2000 data;1;amp
scaled functional response for tL2001 data;1;amp
scaled functional response for tL2002 data;1;amp
rate of egg production;1;amp
scaled func res;1;amp
scaled functional response for juv Lyon1962;1;amp
scaled functional response for NewsBeak;1;amp
total length at time 0;1;amp
scaled functional response for ChanDeSi1981;1;amp
scaled functional response for Hlop2011 wild fish;1;amp
scaled functional response for temperature experiment;1;amp
scaled functional response for WeylHech1998;1;amp
shape coefficient for larvae;1;amp
total length at time zero;1;amp
time since birt at zero;1;amp
digestion efficiency for growth selected cohort;1;amp
defecation efficiency;1;amp
scaled functional response for tW data at 07 d;1;amp
scaled functional response for 0-var and tL data;1;amp
shape coefficient for fork length;1;amp
scaled functional response for tL_f data;1;amp
scaled functional response for tWdata;1;amp
Arrhenius temperature high boundary;1;amp
scaled functional response for uni-vars data;1;amp
time since birth to start experiment;1;amp
Upper temperature boundary for optimal growth;1;amp
del_Mb;1;amp
del_Mj;1;amp
maximum surface-specific ingestion rate;1;amp
scaled functional response for CasaLape2011 data;1;amp
scaled functional response for HopkMack1953 data;1;amp
scaled functional response for MannSout2009 data;1;amp
scaled functional response for PaynPoli2010 data;1;amp
shell length for ingestion;1;amp
energy content per cell Phaeodactylum tricornutum;1;amp
scaled functional response for flux data;1;amp
specific density W_shell = d_s (del_M L)^3;1;amp
allocation fraction to soma before h and after j;1;amp
allocation fraction to soma beteen b and j;1;amp
measured initial energy of egg;1;amp
scaled functional response between b and j;1;amp
scaled functional response between j and m;1;amp
allocation fraction to soma at birth till metam;1;amp
allocation fraction to soma at hatch and after metam;1;amp
initial reserve;1;amp
scaled functional response for L0Lt data;1;amp
scaled functional response for egg data;1;amp
shape coefficient for headlength;1;amp
scaled functional response for WX data;1;amp
scaled functional response for LdL_a data;1;amp
scaled functional response for LdL_b data;1;amp
scaled functional response for 0-var (wild) data;1;amp
scaled functional response for wild 1-var data;1;amp
scaled functional response for tW_As data;1;amp
scaled functional response for tW_Er data;1;amp
scaled functional response for tW_Ma data;1;amp
scaled functional response for tW_Pm data;1;amp
scaled functional response for Ta data;1;amp
scaled functional response for Tae data;1;amp
scaled functional response for Tte data;1;amp
Weibull aging acceleration for males;1;amp
scaled functional response for tW data col 2;1;amp
scaled functional response for tW data col 3;1;amp
scaled functional response for tW data col 4;1;amp
time since birth at time zero of tL data;1;amp
shape parameter for digestion efficiency;1;amp
scaled functional response for WdW data;1;amp
maturity at release of oozoid;1;amp
scaled functional response for tWw data form 0 to 90 d;1;amp
scaled functional response for tWw data form 90 to 135 d;1;amp
scaled functional response for tL_f and tL_m data;1;amp
scaled functional response for CripHemm2009;1;amp
scaled functional response for CripHemm2009 Brine shrimp food;1;amp
scaled functional response for CripHemm2009 combination Brine shrimp and Flake food;1;amp
scaled functional response for CripHemm2009 Flake food;1;amp
scaled functional response for ParrDyar1978;1;amp
intial weight for tWw data;1;amp
slow/fast parameter of foetal development;1;amp
initial energy in the repro buffer;1;amp
rejuvenation stress coefficient;1;amp
sc. func. resp.;1;amp
scaled functional response of BagaPels2001 data;1;amp
scaled functional response of BestAdat2010 data;1;amp
scaled functional response of EatoFarl1974b data;1;amp
scaled functional response of LawrEber2002_high data;1;amp
scaled functional response of LawrEber2002_low data;1;amp
scaled functional response of Schi2002 data;1;amp
shape coefficient for adult;1;amp
shrinking threshold;1;amp
temp in culture;1;amp
chem coeff for Carb in reserve;1;amp
chem coeff for Carb in structure;1;amp
chem coeff for Glyc in reserve;1;amp
chem coeff for Glyc in structure;1;amp
chem coeff for Lipi in reserve;1;amp
chem coeff for Lipi in structure;1;amp
chem coeff for Prot in reserve;1;amp
chem coeff for Prot in structure;1;amp
chem coeff for Trig in reserve;1;amp
chem coeff for Trig in structure;1;amp
conversion of mg carbon to J for algal food (Desmodesmus subspicatus);1;amp
eR at start starvation;1;amp
Gompertz stress coefficient for female;1;amp
Gompertz stress coefficient for male;1;amp
increase in filtration rate at low food density;1;amp
initial size for Coors data;1;amp
scaled functional response for LJO data;1;amp
scaled functional response for Tap data;1;amp
scaled functional response for tL_f;1;amp
scaled functional response for tL_SK1;1;amp
scaled functional response for tL_SK2;1;amp
scaled functional response for tL_SK3;1;amp
scaled functional response for tL5 data;1;amp
scaled functional response for tN data;1;amp
time for egg production at 20<U+FFFD>C;1;amp
scaled functional response for tW data at 23 d;1;amp
scaled functional for tL data;1;amp
shape coefficient for disc width;1;amp
energy conductance for embryo;1;amp
scaled functional response for tW data at 250 d;1;amp
scaled functional response for tW data at 12 d;1;amp
scaled functional response for tL_BB data;1;amp
scaled functional response for tL_CI data;1;amp
scaled functional response for tL_CS data;1;amp
scaled functional response for tL_KS data;1;amp
scaled functional response for tL_T data;1;amp
lower boundary tolerance range;1;amp
scaled functional response for farm data;1;amp
scaled functional response for feeding data;1;amp
scaled functional response for TAN data;1;amp
upper boundary tolerance range;1;amp
time at start egg development;1;amp
time between broods at T_ref;1;amp
scaled functional response for tW data at 300 d;1;amp
maturity at birth asexual stage;1;amp
maturity at birth sexual stage;1;amp
maturity at puberty asexual stage;1;amp
initial TL in tL data;1;amp
scaled functional response for tL_A data;1;amp
Weibull aging acceleration for male;1;amp
scaled functional response for tL_A and tWw_A data;1;amp
scaled functional response for tL_H and tWw_H data;1;amp
scaled functional response for tL_I and tWw_I data;1;amp
scaled functional response for tL_K and tWw_K data;1;amp
scaled functional response for tL_S and tWw_S data;1;amp
scaled functional response for tL_T and tWw_T data;1;amp
scaled functional response for tW data at t=0 d;1;amp
scaled functional response for tW data at t=40 d;1;amp
shape coefficient for TL;1;amp
scaled functional response for tL data at 000 d;1;amp
scaled functional response for tL data at 100 d;1;amp
Gunadi;1;amp
ind10exp1;1;amp
ind11exp1;1;amp
ind12exp1;1;amp
ind13exp1;1;amp
ind14exp1;1;amp
ind15exp1;1;amp
ind16exp1;1;amp
ind17exp1;1;amp
ind18exp1;1;amp
ind19exp1;1;amp
ind1exp1;1;amp
ind20exp1;1;amp
ind21exp1;1;amp
ind22exp1;1;amp
ind23exp1;1;amp
ind24exp1;1;amp
ind25exp1;1;amp
ind26exp1;1;amp
ind27exp1;1;amp
ind28exp1;1;amp
ind29exp1;1;amp
ind2exp1;1;amp
ind30exp1;1;amp
ind31exp1;1;amp
ind32exp1;1;amp
ind33exp1;1;amp
ind34exp1;1;amp
ind35exp1;1;amp
ind36exp1;1;amp
ind37exp1;1;amp
ind3exp1;1;amp
ind4exp1;1;amp
ind5exp1;1;amp
ind6exp1;1;amp
ind7exp1;1;amp
ind8exp1;1;amp
ind9exp1;1;amp
Neuhauser cow manure;1;amp
Neuhauser horse manure;1;amp
Neuhauser sludge;1;amp
scaled functional response for tW and tL data;1;amp
scaled functional response for tL  data;1;amp
scaled functional response for LdL1 data;1;amp
scaled functional response for LdL2 data;1;amp
