datasetId,traitNameVerbatim
https://opentraits.org/datasets/amp,chem coeff for Lipi in structure
https://opentraits.org/datasets/amp,chem coeff for Prot in reserve
https://opentraits.org/datasets/amp,chem coeff for Prot in structure
https://opentraits.org/datasets/amp,chem coeff for Trig in reserve
https://opentraits.org/datasets/amp,chem coeff for Trig in structure
https://opentraits.org/datasets/amp,contibution of shell in tWd_A till tWd_D data
https://opentraits.org/datasets/amp,contribution of gonads in weight for tW-data
https://opentraits.org/datasets/amp,contribution of reprod buffer to total trunc length
https://opentraits.org/datasets/amp,conversion efficiency E -> V -> E
https://opentraits.org/datasets/amp,conversion efficiency from larval reserve to larval structure
https://opentraits.org/datasets/amp,conversion efficient E -> V -> E
https://opentraits.org/datasets/amp,conversion factor for RMI
https://opentraits.org/datasets/amp,conversion length: L_w = L_s^2/ L_M
https://opentraits.org/datasets/amp,conversion of g soil to J for cast production
https://opentraits.org/datasets/amp,conversion of mg carbon to J for algal food (Desmodesmus subspicatus)
https://opentraits.org/datasets/amp,coupler ingested energy - faecal pellet number
https://opentraits.org/datasets/amp,CTmax for Arrhenius temperature_Hemmings PhD data
https://opentraits.org/datasets/amp,CTmin for Arrhenius temperature_Dodgy data
https://opentraits.org/datasets/amp,defacation efficiency
https://opentraits.org/datasets/amp,defecation efficiency
https://opentraits.org/datasets/amp,delay for onset of growth in tW data
https://opentraits.org/datasets/amp,del_M
https://opentraits.org/datasets/amp,del_Mb
https://opentraits.org/datasets/amp,del_Mj
https://opentraits.org/datasets/amp,determines energy allocation to pups
https://opentraits.org/datasets/amp,diameter at start experiment
https://opentraits.org/datasets/amp,digestion efficiency
https://opentraits.org/datasets/amp,digestion efficiency for growth selected cohort
https://opentraits.org/datasets/amp,digestion efficiency for milk
https://opentraits.org/datasets/amp,digestion efficiency of 01
https://opentraits.org/datasets/amp,digestion efficiency of 03
https://opentraits.org/datasets/amp,digestion efficiency of 04
https://opentraits.org/datasets/amp,digestion efficiency of 05
https://opentraits.org/datasets/amp,digestion efficiency of 07
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve at high supply
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve at low food
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve at low supply
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve for tW2 data
https://opentraits.org/datasets/amp,digestion efficiency of food to reserve low food
https://opentraits.org/datasets/amp,digestion efficiency of milk
https://opentraits.org/datasets/amp,dry - ash free dry weight ratio
https://opentraits.org/datasets/amp,dryweight at t = 0 in tW-data
https://opentraits.org/datasets/amp,dry weight for TJO and TJN data
https://opentraits.org/datasets/amp,dry weight for TJO data
https://opentraits.org/datasets/amp,[E_G]
https://opentraits.org/datasets/amp,E_Hb
https://opentraits.org/datasets/amp,E_Hh
https://opentraits.org/datasets/amp,E_Hj
https://opentraits.org/datasets/amp,E_Hp
https://opentraits.org/datasets/amp,embryo shape coefficient
https://opentraits.org/datasets/amp,energy conductance
https://opentraits.org/datasets/amp,energy conductance-embryos
https://opentraits.org/datasets/amp,energy conductance for embryo
https://opentraits.org/datasets/amp,energy conductance for males
https://opentraits.org/datasets/amp,energy conductance of embryo
https://opentraits.org/datasets/amp,energy conductance post birth
https://opentraits.org/datasets/amp,energy conductance pre birth
https://opentraits.org/datasets/amp,energy content of a Skeletonema cell
https://opentraits.org/datasets/amp,energy content per cell Phaeodactylum tricornutum
https://opentraits.org/datasets/amp,energy in food for tW2 data
https://opentraits.org/datasets/amp,energy in repro buffer at the beginning of pregnancy
https://opentraits.org/datasets/amp,eR at start starvation
https://opentraits.org/datasets/amp,f
https://opentraits.org/datasets/amp,factor for foetal development
https://opentraits.org/datasets/amp,f_ad_lib
https://opentraits.org/datasets/amp,faecation efficiency of food to faeces
https://opentraits.org/datasets/amp,f_Deniel & Devauchelle
https://opentraits.org/datasets/amp,feacation efficiency of food to feaces
https://opentraits.org/datasets/amp,fetus max surf-spec assimilation rate
https://opentraits.org/datasets/amp,f for Day (larvae)
https://opentraits.org/datasets/amp,f for Fonds1977 (ingestion)
https://opentraits.org/datasets/amp,f for Fonds 1979 (larvae)
https://opentraits.org/datasets/amp,f for Galois (larvae)
https://opentraits.org/datasets/amp,f for Lund (larvae)
https://opentraits.org/datasets/amp,f for males 0392 data
https://opentraits.org/datasets/amp,f for males 2598 data
https://opentraits.org/datasets/amp,f for pregnant females 0154
https://opentraits.org/datasets/amp,f for pregnant females 0192
https://opentraits.org/datasets/amp,f for pregnant females 0203
https://opentraits.org/datasets/amp,f for pregnant females 0392
https://opentraits.org/datasets/amp,f for pregnant females 0397
https://opentraits.org/datasets/amp,f for pregnant females 1085
https://opentraits.org/datasets/amp,f for pregnant females 2598
https://opentraits.org/datasets/amp,{F_m}
https://opentraits.org/datasets/amp,{F_M}
https://opentraits.org/datasets/amp,{F_mb}
https://opentraits.org/datasets/amp,foetus energy conductance
https://opentraits.org/datasets/amp,foetus max surf-spec assimilation rate
https://opentraits.org/datasets/amp,fraction of eggs in gonads that is resorbed
https://opentraits.org/datasets/amp,fraction of imago structure energy that is converted to eggs
https://opentraits.org/datasets/amp,fraction of wet weight that is measured as a result of removing all body fluids
https://opentraits.org/datasets/amp,fraction of wet weight that is wet tissue
https://opentraits.org/datasets/amp,fraction of yr that for accumulation in first spawn
https://opentraits.org/datasets/amp,fraction that is lardar carcas weight of total weight
https://opentraits.org/datasets/amp,f_tL
https://opentraits.org/datasets/amp,Gompertz stress coefficient
https://opentraits.org/datasets/amp,Gompertz stress coefficient for female
https://opentraits.org/datasets/amp,Gompertz stress coefficient for male
https://opentraits.org/datasets/amp,growth period for TdW data
https://opentraits.org/datasets/amp,Gunadi
https://opentraits.org/datasets/amp,h_a
https://opentraits.org/datasets/amp,half sat constant for inorg matter
https://opentraits.org/datasets/amp,half-saturation coeffcient
https://opentraits.org/datasets/amp,half-saturation coeff for the pup saturation curve
https://opentraits.org/datasets/amp,hazard rate for background mortality
https://opentraits.org/datasets/amphi-bio,Age_at_maturity_max_y
https://opentraits.org/datasets/amphi-bio,Age_at_maturity_min_y
https://opentraits.org/datasets/amphi-bio,Aqu
https://opentraits.org/datasets/amphi-bio,Arb
https://opentraits.org/datasets/amphi-bio,Arthro
https://opentraits.org/datasets/amphi-bio,Body_mass_g
https://opentraits.org/datasets/amphi-bio,Body_size_mm
https://opentraits.org/datasets/amphi-bio,Crepu
https://opentraits.org/datasets/amphi-bio,Dir
https://opentraits.org/datasets/amphi-bio,Diu
https://opentraits.org/datasets/amphi-bio,Dry_cold
https://opentraits.org/datasets/amphi-bio,Dry_warm
https://opentraits.org/datasets/amphi-bio,Flowers
https://opentraits.org/datasets/amphi-bio,Fos
https://opentraits.org/datasets/amphi-bio,Fruits
https://opentraits.org/datasets/amphi-bio,Lar
https://opentraits.org/datasets/amphi-bio,Leaves
https://opentraits.org/datasets/amphi-bio,Litter_size_max_n
https://opentraits.org/datasets/amphi-bio,Litter_size_min_n
https://opentraits.org/datasets/amphi-bio,Longevity_max_y
https://opentraits.org/datasets/amphi-bio,Noc
https://opentraits.org/datasets/amphi-bio,Offspring_size_max_mm
https://opentraits.org/datasets/amphi-bio,Offspring_size_min_mm
https://opentraits.org/datasets/amphi-bio,Reproductive_output_y
https://opentraits.org/datasets/amphi-bio,Seeds
https://opentraits.org/datasets/amphi-bio,Size_at_maturity_max_mm
https://opentraits.org/datasets/amphi-bio,Size_at_maturity_min_mm
https://opentraits.org/datasets/amphi-bio,Ter
https://opentraits.org/datasets/amphi-bio,Vert
https://opentraits.org/datasets/amphi-bio,Viv
https://opentraits.org/datasets/amphi-bio,Wet_cold
https://opentraits.org/datasets/amphi-bio,Wet_warm
https://opentraits.org/datasets/amp,high Arrhenius temperature
https://opentraits.org/datasets/amp,High Boundary Arrhenius temperature
https://opentraits.org/datasets/amp,high boundary temperature
https://opentraits.org/datasets/amp,High boundary temperature
https://opentraits.org/datasets/amp,high boundary temperature egg
https://opentraits.org/datasets/amp,high boundary temperature pupa
https://opentraits.org/datasets/amp,high temp boundary
https://opentraits.org/datasets/amp,increase in filtration rate at low food density
https://opentraits.org/datasets/amp,ind10exp1
https://opentraits.org/datasets/amp,ind11exp1
https://opentraits.org/datasets/amp,ind12exp1
https://opentraits.org/datasets/amp,ind13exp1
https://opentraits.org/datasets/amp,ind14exp1
https://opentraits.org/datasets/amp,ind15exp1
https://opentraits.org/datasets/amp,ind16exp1
https://opentraits.org/datasets/amp,ind17exp1
https://opentraits.org/datasets/amp,ind18exp1
https://opentraits.org/datasets/amp,ind19exp1
https://opentraits.org/datasets/amp,ind1exp1
https://opentraits.org/datasets/amp,ind20exp1
https://opentraits.org/datasets/amp,ind21exp1
https://opentraits.org/datasets/amp,ind22exp1
https://opentraits.org/datasets/amp,ind23exp1
https://opentraits.org/datasets/amp,ind24exp1
https://opentraits.org/datasets/amp,ind25exp1
https://opentraits.org/datasets/amp,ind26exp1
https://opentraits.org/datasets/amp,ind27exp1
https://opentraits.org/datasets/amp,ind28exp1
https://opentraits.org/datasets/amp,ind29exp1
https://opentraits.org/datasets/amp,ind2exp1
https://opentraits.org/datasets/amp,ind30exp1
https://opentraits.org/datasets/amp,ind31exp1
https://opentraits.org/datasets/amp,ind32exp1
https://opentraits.org/datasets/amp,ind33exp1
https://opentraits.org/datasets/amp,ind34exp1
https://opentraits.org/datasets/amp,ind35exp1
https://opentraits.org/datasets/amp,ind36exp1
https://opentraits.org/datasets/amp,ind37exp1
https://opentraits.org/datasets/amp,ind3exp1
https://opentraits.org/datasets/amp,ind4exp1
https://opentraits.org/datasets/amp,ind5exp1
https://opentraits.org/datasets/amp,ind6exp1
https://opentraits.org/datasets/amp,ind7exp1
https://opentraits.org/datasets/amp,ind8exp1
https://opentraits.org/datasets/amp,ind9exp1
https://opentraits.org/datasets/amp,initial abdomial length for tL data
https://opentraits.org/datasets/amp,initial carapace width for tL data
https://opentraits.org/datasets/amp,initial cumulative # of eggs in tN_100 data
https://opentraits.org/datasets/amp,initial cumulative # of eggs in tN_25 data
https://opentraits.org/datasets/amp,initial cumulative # of eggs in tN_50 data
https://opentraits.org/datasets/amp,initial cumulative # of eggs in tN_A till tN_D data
https://opentraits.org/datasets/amp,initial dry weight at for tW0T data
https://opentraits.org/datasets/amp,initial dry weight at for tW1T data
https://opentraits.org/datasets/amp,initial dry weight at for tW2T data
https://opentraits.org/datasets/amp,initial energy in egg
https://opentraits.org/datasets/amp,initial energy in reproduction buffer
https://opentraits.org/datasets/amp,initial energy in the repro buffer
https://opentraits.org/datasets/amp,initial f for Soho
https://opentraits.org/datasets/amp,initial lardar carcas weight for female
https://opentraits.org/datasets/amp,initial lardar carcas weight for male
https://opentraits.org/datasets/amp,initial length for tL_1973 data
https://opentraits.org/datasets/amp,initial length for tL_1974 data
https://opentraits.org/datasets/amp,initial length for tL_1 data
https://opentraits.org/datasets/amp,initial length for tL1 data
https://opentraits.org/datasets/amp,initial length for tL_1-tL_4 data
https://opentraits.org/datasets/amp,initial length for tL_2010 data
https://opentraits.org/datasets/amp,initial length for tL_2011 data
https://opentraits.org/datasets/amp,initial length for tL_2012 data
https://opentraits.org/datasets/amp,initial length for tL_2013 data
https://opentraits.org/datasets/amp,initial length for tL_2 and tL_3 data
https://opentraits.org/datasets/amp,initial  length for tL2 data
https://opentraits.org/datasets/amp,initial length for tL_2 data
https://opentraits.org/datasets/amp,initial  length for tL3 data
https://opentraits.org/datasets/amp,initial  length for tL4 data
https://opentraits.org/datasets/amp,initial  length for tL5 data
https://opentraits.org/datasets/amp,initial length for tL_5-tL_6 data
https://opentraits.org/datasets/amp,initial  length for tL6 data
https://opentraits.org/datasets/amp,initial  length for tL7 data
https://opentraits.org/datasets/amp,initial length  for tL and tWw data
https://opentraits.org/datasets/amp,initial length for tL data
https://opentraits.org/datasets/amp,initial length for tL_f1 data
https://opentraits.org/datasets/amp,initial length for tL_f2 data
https://opentraits.org/datasets/amp,initial length for tL_f data
https://opentraits.org/datasets/amp,initial length for tL_m1 data
https://opentraits.org/datasets/amp,initial length for tL_m2 data
https://opentraits.org/datasets/amp,initial length for tL_m data
https://opentraits.org/datasets/amp,initial length for tL_spr data
https://opentraits.org/datasets/amp,initial length for tL_sum data
https://opentraits.org/datasets/amp,initial length in tL1 data
https://opentraits.org/datasets/amp,initial length in tL and tW data
https://opentraits.org/datasets/amp,initial length in tL data
https://opentraits.org/datasets/amp,initial length of 1973 cohort
https://opentraits.org/datasets/amp,initial length of 1974 cohort
https://opentraits.org/datasets/amp,initial length of 1975 cohort
https://opentraits.org/datasets/amp,initial length of 1976 cohort
https://opentraits.org/datasets/amp,initial length of 1977 cohort
https://opentraits.org/datasets/amp,initial length of 1978 cohort
https://opentraits.org/datasets/amp,initial length of tL1 data
https://opentraits.org/datasets/amp,initial length of tL data
https://opentraits.org/datasets/amp,initial length tL2
https://opentraits.org/datasets/amp,initial length tL3
https://opentraits.org/datasets/amp,initial length tL_c (gaia2016
https://opentraits.org/datasets/amp,initial length tL data Sand1981
https://opentraits.org/datasets/amp,initial length tL (gaia2016
https://opentraits.org/datasets/amp,initial length tL_w (gaia2016
https://opentraits.org/datasets/amp,initial length tS (Wage2015)
https://opentraits.org/datasets/amp,initial maturity in tL_Wils and tWd_Wils data
https://opentraits.org/datasets/amp,initial reprod buffer in tWd_Mann data
https://opentraits.org/datasets/amp,initial reserve
https://opentraits.org/datasets/amp,initial scaled functional response for tdL data
https://opentraits.org/datasets/amp,initial shell height at for tL0 data
https://opentraits.org/datasets/amp,initial shell height at for tL0T data
https://opentraits.org/datasets/amp,initial shell height at for tL1 data
https://opentraits.org/datasets/amp,initial shell height at for tL1T data
https://opentraits.org/datasets/amp,initial shell height at for tL2 data
https://opentraits.org/datasets/amp,initial shell height at for tL3 data
https://opentraits.org/datasets/amp,initial shell height at for tL4 data
https://opentraits.org/datasets/amp,initial shell height at for tL data
https://opentraits.org/datasets/amp,initial shell height for tL1 data
https://opentraits.org/datasets/amp,initial shell height for tL3 data
https://opentraits.org/datasets/amp,initial shell height for tL5 data
https://opentraits.org/datasets/amp,initial shell height for tL data
https://opentraits.org/datasets/amp,initial size for Coors data
https://opentraits.org/datasets/amp,initial struct length for tL and tWw data
https://opentraits.org/datasets/amp,initial struct length for tWw data
https://opentraits.org/datasets/amp,initial struct length in tL_Saur data
https://opentraits.org/datasets/amp,initial struct length in tL_Wils and tWd_Wils data
https://opentraits.org/datasets/amp,initial struct length in tWd_Mann data
https://opentraits.org/datasets/amp,initial structural length
https://opentraits.org/datasets/amp,initial structural length in A till D data
https://opentraits.org/datasets/amp,initial structural length in D data
https://opentraits.org/datasets/amp,initial structural length in tL_100
https://opentraits.org/datasets/amp,initial structural length in tL_FLE data
https://opentraits.org/datasets/amp,initial structural length of 01
https://opentraits.org/datasets/amp,initial structural length of 02
https://opentraits.org/datasets/amp,initial structural length of 03
https://opentraits.org/datasets/amp,initial structural length of 04
https://opentraits.org/datasets/amp,initial structural length of 05
https://opentraits.org/datasets/amp,initial structural length of 06
https://opentraits.org/datasets/amp,initial structural length of 07
https://opentraits.org/datasets/amp,initial structural length of 08
https://opentraits.org/datasets/amp,initial structural length of 13
https://opentraits.org/datasets/amp,initial time for tW-data
https://opentraits.org/datasets/amp,initial TL in tL data
https://opentraits.org/datasets/amp,initial weight for starvation experiment
https://opentraits.org/datasets/amp,initial weight for tW1 data
https://opentraits.org/datasets/amp,initial weight for tW data
https://opentraits.org/datasets/amp,initial weight in tW1 data
https://opentraits.org/datasets/amp,initial weight in tW data
https://opentraits.org/datasets/amp,initial weight in tWw data
https://opentraits.org/datasets/amp,initial weight in tWw_f data
https://opentraits.org/datasets/amp,initial weight in tWw_m data
https://opentraits.org/datasets/amp,initial weight of tW_fK data
https://opentraits.org/datasets/amp,initial weight of tW_fO data
https://opentraits.org/datasets/amp,initial wet weight for tW data
https://opentraits.org/datasets/amp,initial wet weight for tWwA data
https://opentraits.org/datasets/amp,initial wet weight for tWwB data
https://opentraits.org/datasets/amp,initial wet weight for tWwC data
https://opentraits.org/datasets/amp,initial wet weigth in tWW data
https://opentraits.org/datasets/amp,intial dry weight for tWd_a data
https://opentraits.org/datasets/amp,intial dry weight for tWd_d data
https://opentraits.org/datasets/amp,intial dry weight for tWd_p data
https://opentraits.org/datasets/amp,intial dry weight for tWd_t data
https://opentraits.org/datasets/amp,intial length for tL_15 and tL_25 data
https://opentraits.org/datasets/amp,intial length for tL_f data
https://opentraits.org/datasets/amp,intial length for tL_fld data
https://opentraits.org/datasets/amp,intial length for tL_m data
https://opentraits.org/datasets/amp,intial weight for tWw data
https://opentraits.org/datasets/amp,intial wet weight for tWw_d* data
https://opentraits.org/datasets/amp,Intital weight in tW_m data
https://opentraits.org/datasets/amp,intitial structural length in tL
https://opentraits.org/datasets/amp,kap
https://opentraits.org/datasets/amp,kap_P
https://opentraits.org/datasets/amp,kap_R
https://opentraits.org/datasets/amp,kap_X
https://opentraits.org/datasets/amp,k_J
https://opentraits.org/datasets/amp,larval shape coefficient
https://opentraits.org/datasets/amp,L at start AlleHass1985
https://opentraits.org/datasets/amp,L at start ShelClar1995
https://opentraits.org/datasets/amp,length at 0 for tL_f data
https://opentraits.org/datasets/amp,length at 0 for tL_m data
https://opentraits.org/datasets/amp,length at 15 d for FabiHuve2005 data
https://opentraits.org/datasets/amp,length at start of experiment
https://opentraits.org/datasets/amp,length at start of experiment for tWw data
https://opentraits.org/datasets/amp,length at t = 0 in tL_1995/6 data
https://opentraits.org/datasets/amp,length at t = 0 in tL-data
https://opentraits.org/datasets/amp,length at time 0
https://opentraits.org/datasets/amp,length at zero
https://opentraits.org/datasets/amp,length at zero fot tL_f data
https://opentraits.org/datasets/amp,length at zero fot tL_m data
https://opentraits.org/datasets/amp,low Arrhenius temperature
https://opentraits.org/datasets/amp,Low Boundary Arrhenius temperature
https://opentraits.org/datasets/amp,low boundary temperature
https://opentraits.org/datasets/amp,Low boundary temperature
https://opentraits.org/datasets/amp,lower Arrhenius temperature
https://opentraits.org/datasets/amp,lower boundary
https://opentraits.org/datasets/amp,lower boundary for Arrhenius temperature
https://opentraits.org/datasets/amp,lower boundary  temperature
https://opentraits.org/datasets/amp,lower boundary temperature
https://opentraits.org/datasets/amp,Lower boundary temperature
https://opentraits.org/datasets/amp,lower boundary tolerance range
https://opentraits.org/datasets/amp,Lower temp boundary
https://opentraits.org/datasets/amp,lower temperature boundary
https://opentraits.org/datasets/amp,Lower temperature boundary
https://opentraits.org/datasets/amp,low temp boundary
https://opentraits.org/datasets/amp,mantle length at zero for tL_f data
https://opentraits.org/datasets/amp,mantle length at zero for tL_m data
https://opentraits.org/datasets/amp,maturity ar birth
https://opentraits.org/datasets/amp,maturity at birth
https://opentraits.org/datasets/amp,maturity at birth asexual stage
https://opentraits.org/datasets/amp,maturity at birth for females
https://opentraits.org/datasets/amp,maturity at birth for males
https://opentraits.org/datasets/amp,maturity at birth sexual stage
https://opentraits.org/datasets/amp,maturity at emergence
https://opentraits.org/datasets/amp,maturity at end acceleration
https://opentraits.org/datasets/amp,maturity at fledching
https://opentraits.org/datasets/amp,maturity at fledge/weaning
https://opentraits.org/datasets/amp,maturity at fledging
https://opentraits.org/datasets/amp,maturity at  for males
https://opentraits.org/datasets/amp,maturity at hatch
https://opentraits.org/datasets/amp,maturity at hatch for male
https://opentraits.org/datasets/amp,maturity at hatching
https://opentraits.org/datasets/amp,maturity at metam
https://opentraits.org/datasets/amp,maturity at metam for females
https://opentraits.org/datasets/amp,maturity at metam for males
https://opentraits.org/datasets/amp,maturity at metamorhosis
https://opentraits.org/datasets/amp,maturity at metamorphosis
https://opentraits.org/datasets/amp,maturity at pre-birth (when embryo starts absorbation)
https://opentraits.org/datasets/amp,maturity at puberty
https://opentraits.org/datasets/amp,maturity at puberty asexual stage
https://opentraits.org/datasets/amp,maturity at puberty female
https://opentraits.org/datasets/amp,maturity at puberty for female
https://opentraits.org/datasets/amp,maturity at puberty for females
https://opentraits.org/datasets/amp,maturity at puberty for male
https://opentraits.org/datasets/amp,maturity at puberty for  males
https://opentraits.org/datasets/amp,maturity at puberty for males
https://opentraits.org/datasets/amp,maturity at puberty for malesE
https://opentraits.org/datasets/amp,maturity at puberty for maless
https://opentraits.org/datasets/amp,maturity at puberty form males
https://opentraits.org/datasets/amp,maturity at puberty for P.a.g.
https://opentraits.org/datasets/amp,maturity at puberty for race B
https://opentraits.org/datasets/amp,maturity at puberty for race CS
https://opentraits.org/datasets/amp,maturity at puberty for race CT
https://opentraits.org/datasets/amp,maturity at puberty for race E
https://opentraits.org/datasets/amp,maturity at puberty for race G
https://opentraits.org/datasets/amp,maturity at puberty for race I
https://opentraits.org/datasets/amp,maturity at puberty for race L
https://opentraits.org/datasets/amp,maturity at puberty for race M
https://opentraits.org/datasets/amp,maturity at puberty for race N
https://opentraits.org/datasets/amp,maturity at puberty for race P
https://opentraits.org/datasets/amp,maturity at puberty for race S
https://opentraits.org/datasets/amp,maturity at puberty for race SB
https://opentraits.org/datasets/amp,maturity at puberty fro males
https://opentraits.org/datasets/amp,maturity at puberty from  males
https://opentraits.org/datasets/amp,maturity at puberty male
https://opentraits.org/datasets/amp,maturity at puberty of female
https://opentraits.org/datasets/amp,maturity at puberty of male
https://opentraits.org/datasets/amp,maturity at puberty of males
https://opentraits.org/datasets/amp,maturity at release
https://opentraits.org/datasets/amp,maturity at release of oozoid
https://opentraits.org/datasets/amp,maturity at S2/S3 transition
https://opentraits.org/datasets/amp,maturity at settlement
https://opentraits.org/datasets/amp,maturity at start acceleration
https://opentraits.org/datasets/amp,maturity at strobulation
https://opentraits.org/datasets/amp,maturity at trochophore larva stage
https://opentraits.org/datasets/amp,maturity at weaning
https://opentraits.org/datasets/amp,maturity maintenance rate coefficient
https://opentraits.org/datasets/amp,maturity maintenance ratio
https://opentraits.org/datasets/amp,maturity maint rate coefficient
https://opentraits.org/datasets/amp,maximum surface-specific ingestion rate
https://opentraits.org/datasets/amp,max number of pups for upregulation
https://opentraits.org/datasets/amp,max spec ingestion rate
https://opentraits.org/datasets/amp,max spec searching rate
https://opentraits.org/datasets/amp,mean scaled functional response for tL_N data
https://opentraits.org/datasets/amp,mean scaled functional response for tL_S data
https://opentraits.org/datasets/amp,mean scaled functional response for tW data
https://opentraits.org/datasets/amp,mean temperature for tT data
https://opentraits.org/datasets/amp,mean temp in North Sea
https://opentraits.org/datasets/amp,mean temp in Skagerak
https://opentraits.org/datasets/amp,measured initial energy of egg
https://opentraits.org/datasets/amp,milk production efficiency
https://opentraits.org/datasets/amp,milk production efficiency of the mother
https://opentraits.org/datasets/amp,minus(!) time at start development
https://opentraits.org/datasets/amp,mol Chlorophyll per Cmol food
https://opentraits.org/datasets/amp,mol C per algal cell
https://opentraits.org/datasets/amp,mol per cell of micro-algae in Rico-data
https://opentraits.org/datasets/amp,Neuhauser cow manure
https://opentraits.org/datasets/amp,Neuhauser horse manure
https://opentraits.org/datasets/amp,Neuhauser sludge
https://opentraits.org/datasets/amp,nitrogen density of structure
https://opentraits.org/datasets/amp,NO2 stress coefficient
https://opentraits.org/datasets/amp,non-ash fraction for WdWa
https://opentraits.org/datasets/amp,non-ash fraction for WdWd
https://opentraits.org/datasets/amp,number of zooids at time 0
https://opentraits.org/datasets/amp,offset for tL data
https://opentraits.org/datasets/amp,offset for T(t) in tL data
https://opentraits.org/datasets/amp,oral shape coefficient
https://opentraits.org/datasets/amp,{p_Am}
https://opentraits.org/datasets/amp,period between broods
https://opentraits.org/datasets/amp,period of metamorphosis
https://opentraits.org/datasets/amp,physical length at start experiment in tL_1 and tL_2 data
https://opentraits.org/datasets/amp,physical length at start experiment in tL_4 data
https://opentraits.org/datasets/amp,[p_M]
https://opentraits.org/datasets/amp,{p_T}
https://opentraits.org/datasets/amp,radius at time 0 in tL
https://opentraits.org/datasets/amp,rate of egg production
