Trait_category,Number_of_species,Datasets
scaled functional response for tL_SK3,1,https://opentraits.org/datasets/amp
Interaction,7,https://opentraits.org/datasets/amp |  https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/arthropod-species-traits |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/australian-birds |  https://opentraits.org/datasets/beukhof-2019 |  https://opentraits.org/datasets/try
Reproduction? and/or Phenology?,1,https://opentraits.org/datasets/amp
scaled functional response for tL  data,1,https://opentraits.org/datasets/amp
scaled functional response for tW,1,https://opentraits.org/datasets/amp
scaled functional response for tL_f1,1,https://opentraits.org/datasets/amp
scaled functional response for tL_f2,1,https://opentraits.org/datasets/amp
scaled functional response for tL_f3,1,https://opentraits.org/datasets/amp
scaled functional response for tL_T*,1,https://opentraits.org/datasets/amp
scaled functional response for tW  data,1,https://opentraits.org/datasets/amp
initial  length for tL2 data,1,https://opentraits.org/datasets/amp
initial  length for tL3 data,1,https://opentraits.org/datasets/amp
initial  length for tL4 data,1,https://opentraits.org/datasets/amp
initial  length for tL5 data,1,https://opentraits.org/datasets/amp
initial  length for tL6 data,1,https://opentraits.org/datasets/amp
initial  length for tL7 data,1,https://opentraits.org/datasets/amp
scaled functional response for tW_f,1,https://opentraits.org/datasets/amp
scaled functional response for tW  data at 17 d,1,https://opentraits.org/datasets/amp
scaled functional response for tW  data from 0-8 d,1,https://opentraits.org/datasets/amp
scaled functional response for tW3 data  from 0-6 d,1,https://opentraits.org/datasets/amp
Morphology/Body size?,1,https://opentraits.org/datasets/amp
Arrhenius temperature  at high temp boundary,1,https://opentraits.org/datasets/amp
Arrhenius temperature  at low temp boundary,1,https://opentraits.org/datasets/amp
Morphology? and/or Morphology/Body size?,1,https://opentraits.org/datasets/amp
maturity at  for males,1,https://opentraits.org/datasets/amp
scaled functional response for tL  data at t=0,1,https://opentraits.org/datasets/amp
scaled functional response for tL  data at t=1000,1,https://opentraits.org/datasets/amp
scaled functional response for tL data  at t=2000 d,1,https://opentraits.org/datasets/amp
radius at time 0 in tL,1,https://opentraits.org/datasets/amp
scaled functional response for dWd,1,https://opentraits.org/datasets/amp
initial structural length in tL_100,1,https://opentraits.org/datasets/amp
maturity at puberty for  males,1,https://opentraits.org/datasets/amp
scaled functional response for tL3,1,https://opentraits.org/datasets/amp
scaled functional response for tL4,1,https://opentraits.org/datasets/amp
scaled functional response for tL5,1,https://opentraits.org/datasets/amp
scaled functional response for tL6,1,https://opentraits.org/datasets/amp
scaled functional response for tL7,1,https://opentraits.org/datasets/amp
zoom  for males,1,https://opentraits.org/datasets/amp
scaled functional response for Shabica,1,https://opentraits.org/datasets/amp
scaled functional response for 1-var data birth onwards,1,https://opentraits.org/datasets/amp
scaled functional response for Tah,1,https://opentraits.org/datasets/amp
scld. fctl. res.  DaviKenn2014 (first part of experiment),1,https://opentraits.org/datasets/amp
scld. fctl. res.  DaviKenn2014 (second part of experiment),1,https://opentraits.org/datasets/amp
zoom factor  for males,1,https://opentraits.org/datasets/amp
determines energy allocation to pups,1,https://opentraits.org/datasets/amp
milk production efficiency of the mother,1,https://opentraits.org/datasets/amp
scaled functional response embryo data  ZaikDom2013,1,https://opentraits.org/datasets/amp
initial energy in reproduction buffer,1,https://opentraits.org/datasets/amp
scaled function respons,1,https://opentraits.org/datasets/amp
scaled functional response for Gonz2010,1,https://opentraits.org/datasets/amp
scaled functional response for tL_A,1,https://opentraits.org/datasets/amp
scaled functional response for tL_B,1,https://opentraits.org/datasets/amp
scaled functional response for tW2,1,https://opentraits.org/datasets/amp
Physiology? and/or Morphology?,1,https://opentraits.org/datasets/amp
time at birth in tL,1,https://opentraits.org/datasets/amp
intitial structural length in tL,1,https://opentraits.org/datasets/amp
{F_mb},1,https://opentraits.org/datasets/amp
scaled functional response for tL_fA,1,https://opentraits.org/datasets/amp
scaled functional response for tL_fNZ,1,https://opentraits.org/datasets/amp
reproduction efficiency of the mother,1,https://opentraits.org/datasets/amp
scaled functional response for pups,1,https://opentraits.org/datasets/amp
scaled functional response for tL and LW  data,1,https://opentraits.org/datasets/amp
sc. funct. res.  Wagn1990,1,https://opentraits.org/datasets/amp
E_Hh,1,https://opentraits.org/datasets/amp
Arrhenius temperature at lower  boundary,1,https://opentraits.org/datasets/amp
scaled functional response for tL_Anyui,1,https://opentraits.org/datasets/amp
scaled functional response for tL_Limuri,1,https://opentraits.org/datasets/amp
Habitat,5,https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/australian-birds |  https://opentraits.org/datasets/beukhof-2019 |  https://opentraits.org/datasets/bland-2017 |  https://opentraits.org/datasets/try
Movement?,1,https://opentraits.org/datasets/amphi-bio
Morphology/Body size,6,https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/arthropod-species-traits |  https://opentraits.org/datasets/australian-birds |  https://opentraits.org/datasets/avonet |  https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/jeppsson-2014
Reproduction/Life history? and/or Morphology?,1,https://opentraits.org/datasets/amphi-bio
Reproduction/Life history,4,https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/arthropod-species-traits |  https://opentraits.org/datasets/beukhof-2019 |  https://opentraits.org/datasets/try
Phenology,4,https://opentraits.org/datasets/amphi-bio |  https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/bien |  https://opentraits.org/datasets/try
Reproduction? and/or Morphology?,2,https://opentraits.org/datasets/austraits |  https://opentraits.org/datasets/betydb
Movement,2,https://opentraits.org/datasets/avianhwi |  https://opentraits.org/datasets/try
belowground rhizome biomass; does not include tubers,1,https://opentraits.org/datasets/betydb
rate of fine root loss (temperature dependent,1,https://opentraits.org/datasets/betydb
Includes enlarged stems,1,https://opentraits.org/datasets/betydb
PHysiology,1,https://opentraits.org/datasets/betydb
single shoot weight,1,https://opentraits.org/datasets/betydb
Physiology?,2,https://opentraits.org/datasets/betydb |  https://opentraits.org/datasets/try
for grasses,1,https://opentraits.org/datasets/betydb
mean tilt angle,1,https://opentraits.org/datasets/betydb
Habitat? and/or Societal value?,1,https://opentraits.org/datasets/bland-2017
Oocyte size at maturity,1,https://opentraits.org/datasets/coral-traits
Geographical region,1,https://opentraits.org/datasets/coral-traits
Ocean basin,1,https://opentraits.org/datasets/coral-traits
Zooxanthellate,1,https://opentraits.org/datasets/coral-traits
Abundance GBR,1,https://opentraits.org/datasets/coral-traits
IUCN Red List category,1,https://opentraits.org/datasets/coral-traits
Abundance world,1,https://opentraits.org/datasets/coral-traits
Colony maximum diameter,1,https://opentraits.org/datasets/coral-traits
Depth upper,1,https://opentraits.org/datasets/coral-traits
Depth lower,1,https://opentraits.org/datasets/coral-traits
Wave exposure preference,1,https://opentraits.org/datasets/coral-traits
Water clarity preference,1,https://opentraits.org/datasets/coral-traits
Substrate attachment,1,https://opentraits.org/datasets/coral-traits
Coloniality,1,https://opentraits.org/datasets/coral-traits
Range size,1,https://opentraits.org/datasets/coral-traits
Species age phylogeny,1,https://opentraits.org/datasets/coral-traits
Eastern-most range edge,1,https://opentraits.org/datasets/coral-traits
Western-most range edge,1,https://opentraits.org/datasets/coral-traits
Northern-most range edge,1,https://opentraits.org/datasets/coral-traits
Southern-most range edge,1,https://opentraits.org/datasets/coral-traits
Growth form Veron,1,https://opentraits.org/datasets/coral-traits
Corallite width minimum,1,https://opentraits.org/datasets/coral-traits
Corallite width maximum,1,https://opentraits.org/datasets/coral-traits
Growth form typical,1,https://opentraits.org/datasets/coral-traits
Propagule size on release,1,https://opentraits.org/datasets/coral-traits
Indo-Pacific faunal province,1,https://opentraits.org/datasets/coral-traits
Genus fossil age,1,https://opentraits.org/datasets/coral-traits
Genus fossil stage,1,https://opentraits.org/datasets/coral-traits
Mode of larval development,1,https://opentraits.org/datasets/coral-traits
Sexual system,1,https://opentraits.org/datasets/coral-traits
Symbiodinium clade,1,https://opentraits.org/datasets/coral-traits
Symbiodinium subclade,1,https://opentraits.org/datasets/coral-traits
Water depth,1,https://opentraits.org/datasets/coral-traits
Life history strategy,1,https://opentraits.org/datasets/coral-traits
Symbiodinium sp. in propagules,1,https://opentraits.org/datasets/coral-traits
Growth outline type,1,https://opentraits.org/datasets/coral-traits
Growth form Wallace,1,https://opentraits.org/datasets/coral-traits
Growth rate,1,https://opentraits.org/datasets/coral-traits
Water temperature,1,https://opentraits.org/datasets/coral-traits
Nitrogen concentration,1,https://opentraits.org/datasets/coral-traits
Phosphorus concentration,1,https://opentraits.org/datasets/coral-traits
Sample identifier,1,https://opentraits.org/datasets/coral-traits
Skeletal density,1,https://opentraits.org/datasets/coral-traits
Calcification rate,1,https://opentraits.org/datasets/coral-traits
Tissue thickness,1,https://opentraits.org/datasets/coral-traits
Symbiodinium density,1,https://opentraits.org/datasets/coral-traits
Habitat type,1,https://opentraits.org/datasets/coral-traits
Wave exposure,1,https://opentraits.org/datasets/coral-traits
Season,1,https://opentraits.org/datasets/coral-traits
Irradiance,1,https://opentraits.org/datasets/coral-traits
Year,1,https://opentraits.org/datasets/coral-traits
Skeletal micro-density,1,https://opentraits.org/datasets/coral-traits
Month,1,https://opentraits.org/datasets/coral-traits
Larval swimming speed,1,https://opentraits.org/datasets/coral-traits
Direction,1,https://opentraits.org/datasets/coral-traits
Dark respiration,1,https://opentraits.org/datasets/coral-traits
Gross photosynthesis,1,https://opentraits.org/datasets/coral-traits
Chlorophyll a,1,https://opentraits.org/datasets/coral-traits
Mitotic index,1,https://opentraits.org/datasets/coral-traits
Polyps per area,1,https://opentraits.org/datasets/coral-traits
Flow rate,1,https://opentraits.org/datasets/coral-traits
Distance from tip,1,https://opentraits.org/datasets/coral-traits
Axial corallite part,1,https://opentraits.org/datasets/coral-traits
Depth transplanted from,1,https://opentraits.org/datasets/coral-traits
UV radiation treatment,1,https://opentraits.org/datasets/coral-traits
Bleaching event,1,https://opentraits.org/datasets/coral-traits
Downward flux of suspended particulate matter,1,https://opentraits.org/datasets/coral-traits
Particulate organic matter concentration,1,https://opentraits.org/datasets/coral-traits
Lipid content,1,https://opentraits.org/datasets/coral-traits
Polyp fecundity,1,https://opentraits.org/datasets/coral-traits
Size at maturity,1,https://opentraits.org/datasets/coral-traits
Colony shape factor,1,https://opentraits.org/datasets/coral-traits
Colony area,1,https://opentraits.org/datasets/coral-traits
Distance from crest,1,https://opentraits.org/datasets/coral-traits
Ratio of female to male gonads,1,https://opentraits.org/datasets/coral-traits
Colony bleached,1,https://opentraits.org/datasets/coral-traits
RNA:DNA ratio,1,https://opentraits.org/datasets/coral-traits
Protein biomass,1,https://opentraits.org/datasets/coral-traits
Turbidity,1,https://opentraits.org/datasets/coral-traits
Growth form,1,https://opentraits.org/datasets/coral-traits
Eggs per area,1,https://opentraits.org/datasets/coral-traits
Corallite width,1,https://opentraits.org/datasets/coral-traits
Mature egg diameter,1,https://opentraits.org/datasets/coral-traits
Age at maturity,1,https://opentraits.org/datasets/coral-traits
Generation time,1,https://opentraits.org/datasets/coral-traits
Mesentery fecundity,1,https://opentraits.org/datasets/coral-traits
Number of septa per corallite,1,https://opentraits.org/datasets/coral-traits
Distance from shore,1,https://opentraits.org/datasets/coral-traits
Dissolved oxygen concentration,1,https://opentraits.org/datasets/coral-traits
Phosphate concentration,1,https://opentraits.org/datasets/coral-traits
Salinity,1,https://opentraits.org/datasets/coral-traits
Light extinction coefficient,1,https://opentraits.org/datasets/coral-traits
Suspended particulate matter concentration,1,https://opentraits.org/datasets/coral-traits
Nitrite-nitrate concentration,1,https://opentraits.org/datasets/coral-traits
Individual identifier,1,https://opentraits.org/datasets/coral-traits
Colony part,1,https://opentraits.org/datasets/coral-traits
Fish predation controlled,1,https://opentraits.org/datasets/coral-traits
Shaded,1,https://opentraits.org/datasets/coral-traits
Plankton controlled,1,https://opentraits.org/datasets/coral-traits
Propagule age,1,https://opentraits.org/datasets/coral-traits
Rainfall,1,https://opentraits.org/datasets/coral-traits
Sunlight,1,https://opentraits.org/datasets/coral-traits
Damage,1,https://opentraits.org/datasets/coral-traits
Habitat transplanted from,1,https://opentraits.org/datasets/coral-traits
Fish association controlled,1,https://opentraits.org/datasets/coral-traits
Colony surface area,1,https://opentraits.org/datasets/coral-traits
Leaf area (in case of compound leaves: leaflet,1,https://opentraits.org/datasets/try
Leaf area (in case of compound leaves: leaf,1,https://opentraits.org/datasets/try
Leaf area (in case of compound leaves undefined if leaf or leaflet,1,https://opentraits.org/datasets/try
Leaf area per leaf dry mass (specific leaf area,1,https://opentraits.org/datasets/try
Leaf texture (sclerophylly,1,https://opentraits.org/datasets/try
Leaf dry mass per leaf fresh mass (leaf dry matter content,1,https://opentraits.org/datasets/try
Stem dry mass per stem fresh volume (stem specific density,1,https://opentraits.org/datasets/try
Stem conduit diameter (vessels,1,https://opentraits.org/datasets/try
Leaf density (leaf tissue density,1,https://opentraits.org/datasets/try
Root type,1,https://opentraits.org/datasets/try
Bark persistence (deciduous,1,https://opentraits.org/datasets/try
Bark surface structure,1,https://opentraits.org/datasets/try
Leaf emergences (pubescence,1,https://opentraits.org/datasets/try
Stem emergences (pubescence,1,https://opentraits.org/datasets/try
Leaf angle (inclination,1,https://opentraits.org/datasets/try
Phenology?,1,https://opentraits.org/datasets/try
Fine root persistence (lifespan,1,https://opentraits.org/datasets/try
Fine root (absorptive) persistence (lifespan,1,https://opentraits.org/datasets/try
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root length,1,https://opentraits.org/datasets/try
Reproduction/Life cycle? and/or Phenology?,1,https://opentraits.org/datasets/try
Plant growth rate relative (plant relative growth rate,1,https://opentraits.org/datasets/try
Fine root length per fine root dry mass (specific fine root length,1,https://opentraits.org/datasets/try
Morphology? and/or Movement?,1,https://opentraits.org/datasets/try
Plant dead organ retainment: leaves,1,https://opentraits.org/datasets/try
Bark secondary compounds: oil,1,https://opentraits.org/datasets/try
Xylem hydraulic vulnerability,1,https://opentraits.org/datasets/try
Flower sexual syndrome (dichogamy,1,https://opentraits.org/datasets/try
Litter (other than leaf: twigs,1,https://opentraits.org/datasets/try
Plant carbon (C) allocation to root,1,https://opentraits.org/datasets/try
Plant vegetative�reproduction: spread�distance�,1,https://opentraits.org/datasets/try
Shoot emergences (pubescence,1,https://opentraits.org/datasets/try
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio,1,https://opentraits.org/datasets/try
Fine root (transport) length per transport fine root dry mass (specific transport fine root length,1,https://opentraits.org/datasets/try
Litter SLA (leaf area per leaf dry mass,1,https://opentraits.org/datasets/try
Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency,1,https://opentraits.org/datasets/try
Physiology? and/or Interation?,1,https://opentraits.org/datasets/try
Wood vessel: dark staining substances in vessels and/or fibers (gum,1,https://opentraits.org/datasets/try
Root length per root dry mass (specific root length,1,https://opentraits.org/datasets/try
Phenology? and/or Reproduction/Life history?,1,https://opentraits.org/datasets/try
Stomata conductance model parameter (Ball-Berry,1,https://opentraits.org/datasets/try
Seed number per inflorescence (total,1,https://opentraits.org/datasets/try
Reproduction?,1,https://opentraits.org/datasets/try
Mycorrhizal colonization: fraction of root length with mycorrhizla hyphae,1,https://opentraits.org/datasets/try
Wood mechanical property: flexual stiffness,1,https://opentraits.org/datasets/try
Root tips per fine root dry mass (specific fine root tip abundance,1,https://opentraits.org/datasets/try
Coarse root length per coarse root dry mass (specific coarse root length,1,https://opentraits.org/datasets/try
Stem cross-sectional area tissue types: pith,1,https://opentraits.org/datasets/try
Plant biomass and allometry: Leaves per plant (emergent,1,https://opentraits.org/datasets/try
Stomata pore area per leaf surface area (abaxial,1,https://opentraits.org/datasets/try
Xylem hydraulic vulnerability curve (P20,1,https://opentraits.org/datasets/try
Root tips per absorptive fine root dry mass (specific absorptive fine root tip abundance,1,https://opentraits.org/datasets/try
Plant biomass and allometry: Branch dry mass (alive,1,https://opentraits.org/datasets/try
Root dry mass per root volume (root density,1,https://opentraits.org/datasets/try
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant organ length,1,https://opentraits.org/datasets/try
Stem dry mass per stem fresh mass (stem dry matter content,1,https://opentraits.org/datasets/try
Flower onset of flowering (first flowering date,1,https://opentraits.org/datasets/try
Plant biomass and allometry: Supportive structure (stem,1,https://opentraits.org/datasets/try
Leaf and leaf-structures fresh to dry shrinkage ratio (length,1,https://opentraits.org/datasets/try
Wood fibers absent in the center,1,https://opentraits.org/datasets/try
Fine root (transport) persistence (lifespan,1,https://opentraits.org/datasets/try
Root persistence (lifespan,1,https://opentraits.org/datasets/try
Twig (fine branch smaller 2mm) dry mass per twig fresh mass (twig dry matter content,1,https://opentraits.org/datasets/try
Belowground plant organ persistence (lifespan,1,https://opentraits.org/datasets/try
Leaf dry mass per fresh mass (cotyledons,1,https://opentraits.org/datasets/try
Leaf area per dry mass (cotyledons,1,https://opentraits.org/datasets/try
Root nitrogen (N) uptake preference: ammonium (NH4+),1,https://opentraits.org/datasets/try
Plant relationship of stem mass,1,https://opentraits.org/datasets/try
Coarse root ratio of 3,1,https://opentraits.org/datasets/try
Fine root (absorptive) ratio of 3,1,https://opentraits.org/datasets/try
Fine root (absorptive) lifespan: fraction of absorptive fine roots that live to the age in �absorptive fine root age�,1,https://opentraits.org/datasets/try
Fine root nitrogen (N) uptake preference: ammonium (NH4+),1,https://opentraits.org/datasets/try
Root lifespan: fraction of roots that live to the age in �root age�,1,https://opentraits.org/datasets/try
Fine root lifespan: fraction of fine roots that live to the age in �fine root age�,1,https://opentraits.org/datasets/try
Fine root forks per fine root dry mass (specific fine root forks density,1,https://opentraits.org/datasets/try
Root tips per root dry mass (specific root tip abundance,1,https://opentraits.org/datasets/try
Litter (cone,1,https://opentraits.org/datasets/try
Leaf respiration rate in the dark minus respiration in light,1,https://opentraits.org/datasets/try
