Trait_category,Dataset,Number_of_traits,Number_of_species,Number_of_records
Morphology? and/or Morphology/Body size?,https://opentraits.org/datasets/amp,3,3,3
maturity at  for males,https://opentraits.org/datasets/amp,1,5,5
scaled functional response for tL  data at t=0,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL  data at t=1000,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL data  at t=2000 d,https://opentraits.org/datasets/amp,1,1,1
radius at time 0 in tL,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for dWd,https://opentraits.org/datasets/amp,1,1,1
initial structural length in tL_100,https://opentraits.org/datasets/amp,1,1,1
maturity at puberty for  males,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for tL3,https://opentraits.org/datasets/amp,1,4,4
scaled functional response for tL4,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL5,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL6,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL7,https://opentraits.org/datasets/amp,1,1,1
zoom  for males,https://opentraits.org/datasets/amp,1,2,2
scaled functional response for Shabica,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for 1-var data birth onwards,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for Tah,https://opentraits.org/datasets/amp,1,1,1
scld. fctl. res.  DaviKenn2014 (first part of experiment),https://opentraits.org/datasets/amp,1,1,1
scld. fctl. res.  DaviKenn2014 (second part of experiment),https://opentraits.org/datasets/amp,1,1,1
zoom factor  for males,https://opentraits.org/datasets/amp,1,1,1
determines energy allocation to pups,https://opentraits.org/datasets/amp,1,1,1
milk production efficiency of the mother,https://opentraits.org/datasets/amp,1,2,2
scaled functional response embryo data  ZaikDom2013,https://opentraits.org/datasets/amp,1,1,1
initial energy in reproduction buffer,https://opentraits.org/datasets/amp,1,1,2
scaled function respons,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for Gonz2010,https://opentraits.org/datasets/amp,1,1,2
scaled functional response for tL_A,https://opentraits.org/datasets/amp,1,1,2
scaled functional response for tL_B,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tW2,https://opentraits.org/datasets/amp,1,1,1
Physiology? and/or Morphology?,https://opentraits.org/datasets/amp,1,1,1
time at birth in tL,https://opentraits.org/datasets/amp,1,1,1
intitial structural length in tL,https://opentraits.org/datasets/amp,1,1,1
{F_mb},https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_fA,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_fNZ,https://opentraits.org/datasets/amp,1,1,1
reproduction efficiency of the mother,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for pups,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL and LW  data,https://opentraits.org/datasets/amp,1,2,2
sc. funct. res.  Wagn1990,https://opentraits.org/datasets/amp,1,1,1
E_Hh,https://opentraits.org/datasets/amp,1,1,1
Arrhenius temperature at lower  boundary,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_Anyui,https://opentraits.org/datasets/amp,1,1,1
scaled functional response for tL_Limuri,https://opentraits.org/datasets/amp,1,1,1
Habitat,https://opentraits.org/datasets/amphi-bio,4,6287,12790
Movement?,https://opentraits.org/datasets/amphi-bio,3,2238,2688
Morphology/Body size,https://opentraits.org/datasets/amphi-bio,1,5224,5227
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/amphi-bio,6,1849,4691
Reproduction,https://opentraits.org/datasets/amphi-bio,1,4431,4432
Reproduction/Life history? and/or Morphology?,https://opentraits.org/datasets/amphi-bio,2,1330,2660
Reproduction/Life history,https://opentraits.org/datasets/amphi-bio,5,5706,17859
Interaction,https://opentraits.org/datasets/amphi-bio,6,1251,1395
Phenology,https://opentraits.org/datasets/amphi-bio,4,1003,1175
Morphology/Body size,https://opentraits.org/datasets/arthropod-species-traits,1,1237,1239
Reproduction/Life history,https://opentraits.org/datasets/arthropod-species-traits,1,1237,1239
Interaction,https://opentraits.org/datasets/arthropod-species-traits,6,1237,5244
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/arthropod-species-traits,3,1237,2597
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/austraits,373,28334,786256
Phenology,https://opentraits.org/datasets/austraits,2,17423,33954
Morphology,https://opentraits.org/datasets/austraits,9,25475,87866
Physiology,https://opentraits.org/datasets/austraits,59,10038,59069
Interaction,https://opentraits.org/datasets/austraits,1,6523,8156
Reproduction,https://opentraits.org/datasets/austraits,3,23820,34753
Reproduction? and/or Morphology?,https://opentraits.org/datasets/austraits,1,228,299
Morphology/Body size,https://opentraits.org/datasets/australian-birds,15,209,0
Morphology,https://opentraits.org/datasets/australian-birds,3,188,0
Habitat,https://opentraits.org/datasets/australian-birds,48,195,0
Interaction,https://opentraits.org/datasets/australian-birds,15,195,0
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/australian-birds,15,266,0
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/avianhwi,5,10337,51718
Movement,https://opentraits.org/datasets/avianhwi,2,10337,20688
Morphology/Body size,https://opentraits.org/datasets/avonet,1,7006,58447
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/avonet,8,7008,360720
Morphology,https://opentraits.org/datasets/avonet,1,6961,48910
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/bennett-2018,2,2128,3326
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/bernhardt-2018,34,719,23596
Morphology,https://opentraits.org/datasets/bernhardt-2018,1,719,753
Physiology,https://opentraits.org/datasets/betydb,34,137,2621
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/betydb,92,389,10756
Reproduction,https://opentraits.org/datasets/betydb,1,54,56
belowground rhizome biomass; does not include tubers,https://opentraits.org/datasets/betydb,1,8,29
rate of fine root loss (temperature dependent,https://opentraits.org/datasets/betydb,1,2,2
Includes enlarged stems,https://opentraits.org/datasets/betydb,1,1,167
PHysiology,https://opentraits.org/datasets/betydb,1,2,28
single shoot weight,https://opentraits.org/datasets/betydb,1,1,30
Physiology?,https://opentraits.org/datasets/betydb,1,5,9
for grasses,https://opentraits.org/datasets/betydb,1,1,36
mean tilt angle,https://opentraits.org/datasets/betydb,1,1,6
Reproduction? and/or Morphology?,https://opentraits.org/datasets/betydb,1,1,1
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/beukhof-2019,9,1903,54918
Morphology,https://opentraits.org/datasets/beukhof-2019,2,1903,12204
Interaction,https://opentraits.org/datasets/beukhof-2019,1,1903,6102
Habitat,https://opentraits.org/datasets/beukhof-2019,1,1903,6102
Reproduction/Life history,https://opentraits.org/datasets/beukhof-2019,1,1903,6102
Morphology,https://opentraits.org/datasets/bien,3,83276,351368
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/bien,35,55713,15058814
Morphology/Body size,https://opentraits.org/datasets/bien,3,8720,10138274
Phenology,https://opentraits.org/datasets/bien,3,5679,16553
Physiology,https://opentraits.org/datasets/bien,8,4525,40159
Reproduction,https://opentraits.org/datasets/bien,1,1283,1325
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/bland-2017,19,450,8035
Habitat? and/or Societal value?,https://opentraits.org/datasets/bland-2017,1,450,450
Habitat,https://opentraits.org/datasets/bland-2017,1,450,450
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/brot,44,2506,26783
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/catching-crabs,3,1,7642
Reproduction,https://opentraits.org/datasets/catching-crabs,1,1,2481
Morphology,https://opentraits.org/datasets/chinaroots,10,72,13551
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/columbian-anurans,8,293,36984
Reproduction,https://opentraits.org/datasets/columbian-anurans,1,293,4623
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/compadre,1,1196,12725
Oocyte size at maturity,https://opentraits.org/datasets/coral-traits,1,97,125
Geographical region,https://opentraits.org/datasets/coral-traits,1,1500,2321
Ocean basin,https://opentraits.org/datasets/coral-traits,1,1486,1497
Zooxanthellate,https://opentraits.org/datasets/coral-traits,1,1539,1550
Abundance GBR,https://opentraits.org/datasets/coral-traits,1,399,400
IUCN Red List category,https://opentraits.org/datasets/coral-traits,1,812,818
Abundance world,https://opentraits.org/datasets/coral-traits,1,816,823
Colony maximum diameter,https://opentraits.org/datasets/coral-traits,1,317,532
Depth upper,https://opentraits.org/datasets/coral-traits,1,761,1048
Depth lower,https://opentraits.org/datasets/coral-traits,1,775,1229
Wave exposure preference,https://opentraits.org/datasets/coral-traits,1,925,934
Water clarity preference,https://opentraits.org/datasets/coral-traits,1,925,934
Substrate attachment,https://opentraits.org/datasets/coral-traits,1,772,891
Coloniality,https://opentraits.org/datasets/coral-traits,1,772,891
Range size,https://opentraits.org/datasets/coral-traits,1,769,1477
Species age phylogeny,https://opentraits.org/datasets/coral-traits,1,1455,1463
Eastern-most range edge,https://opentraits.org/datasets/coral-traits,1,702,709
Western-most range edge,https://opentraits.org/datasets/coral-traits,1,702,709
Northern-most range edge,https://opentraits.org/datasets/coral-traits,1,702,709
Southern-most range edge,https://opentraits.org/datasets/coral-traits,1,702,709
Growth form Veron,https://opentraits.org/datasets/coral-traits,1,766,1168
Corallite width minimum,https://opentraits.org/datasets/coral-traits,1,682,682
Corallite width maximum,https://opentraits.org/datasets/coral-traits,1,726,726
Growth form typical,https://opentraits.org/datasets/coral-traits,1,766,773
Propagule size on release,https://opentraits.org/datasets/coral-traits,1,54,60
Indo-Pacific faunal province,https://opentraits.org/datasets/coral-traits,1,688,3814
Genus fossil age,https://opentraits.org/datasets/coral-traits,1,823,3799
Genus fossil stage,https://opentraits.org/datasets/coral-traits,1,834,2335
Mode of larval development,https://opentraits.org/datasets/coral-traits,1,347,347
Sexual system,https://opentraits.org/datasets/coral-traits,1,339,340
Symbiodinium clade,https://opentraits.org/datasets/coral-traits,1,310,3147
Symbiodinium subclade,https://opentraits.org/datasets/coral-traits,1,311,3068
Water depth,https://opentraits.org/datasets/coral-traits,1,332,13527
Life history strategy,https://opentraits.org/datasets/coral-traits,1,143,143
Symbiodinium sp. in propagules,https://opentraits.org/datasets/coral-traits,1,113,113
Growth outline type,https://opentraits.org/datasets/coral-traits,1,119,119
Growth form Wallace,https://opentraits.org/datasets/coral-traits,1,119,122
Growth rate,https://opentraits.org/datasets/coral-traits,1,130,1514
Water temperature,https://opentraits.org/datasets/coral-traits,1,76,773
Nitrogen concentration,https://opentraits.org/datasets/coral-traits,1,32,131
Phosphorus concentration,https://opentraits.org/datasets/coral-traits,1,33,142
Sample identifier,https://opentraits.org/datasets/coral-traits,1,34,161
Skeletal density,https://opentraits.org/datasets/coral-traits,1,54,422
Calcification rate,https://opentraits.org/datasets/coral-traits,1,33,375
Tissue thickness,https://opentraits.org/datasets/coral-traits,1,16,59
Symbiodinium density,https://opentraits.org/datasets/coral-traits,1,35,4062
Habitat type,https://opentraits.org/datasets/coral-traits,1,71,1961
Wave exposure,https://opentraits.org/datasets/coral-traits,1,29,1247
Season,https://opentraits.org/datasets/coral-traits,1,58,4644
Irradiance,https://opentraits.org/datasets/coral-traits,1,24,223
Year,https://opentraits.org/datasets/coral-traits,1,62,477
Skeletal micro-density,https://opentraits.org/datasets/coral-traits,1,8,9
Month,https://opentraits.org/datasets/coral-traits,1,2,31
Larval swimming speed,https://opentraits.org/datasets/coral-traits,1,13,394
Direction,https://opentraits.org/datasets/coral-traits,1,7,387
Dark respiration,https://opentraits.org/datasets/coral-traits,1,11,46
Gross photosynthesis,https://opentraits.org/datasets/coral-traits,1,10,37
Chlorophyll a,https://opentraits.org/datasets/coral-traits,1,22,110
Mitotic index,https://opentraits.org/datasets/coral-traits,1,16,31
Polyps per area,https://opentraits.org/datasets/coral-traits,1,25,55
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/coral-traits,1,17,3867
Flow rate,https://opentraits.org/datasets/coral-traits,1,14,63
Distance from tip,https://opentraits.org/datasets/coral-traits,1,1,22
Axial corallite part,https://opentraits.org/datasets/coral-traits,1,1,22
Depth transplanted from,https://opentraits.org/datasets/coral-traits,1,2,6
UV radiation treatment,https://opentraits.org/datasets/coral-traits,1,1,2
Bleaching event,https://opentraits.org/datasets/coral-traits,1,7,4176
Downward flux of suspended particulate matter,https://opentraits.org/datasets/coral-traits,1,8,43
Particulate organic matter concentration,https://opentraits.org/datasets/coral-traits,1,5,16
Lipid content,https://opentraits.org/datasets/coral-traits,1,8,13
Polyp fecundity,https://opentraits.org/datasets/coral-traits,1,10,10
Size at maturity,https://opentraits.org/datasets/coral-traits,1,7,7
Colony shape factor,https://opentraits.org/datasets/coral-traits,1,3,1158
Colony area,https://opentraits.org/datasets/coral-traits,1,5,1163
Distance from crest,https://opentraits.org/datasets/coral-traits,1,3,1158
Ratio of female to male gonads,https://opentraits.org/datasets/coral-traits,1,6,6
Colony bleached,https://opentraits.org/datasets/coral-traits,1,1,1
RNA:DNA ratio,https://opentraits.org/datasets/coral-traits,1,23,80
Protein biomass,https://opentraits.org/datasets/coral-traits,1,12,32
Turbidity,https://opentraits.org/datasets/coral-traits,1,3,22
Growth form,https://opentraits.org/datasets/coral-traits,1,8,73
Eggs per area,https://opentraits.org/datasets/coral-traits,1,7,10
Corallite width,https://opentraits.org/datasets/coral-traits,1,4,4
Mature egg diameter,https://opentraits.org/datasets/coral-traits,1,4,6
Age at maturity,https://opentraits.org/datasets/coral-traits,1,3,3
Generation time,https://opentraits.org/datasets/coral-traits,1,3,3
Mesentery fecundity,https://opentraits.org/datasets/coral-traits,1,3,6
Number of septa per corallite,https://opentraits.org/datasets/coral-traits,1,3,6
Distance from shore,https://opentraits.org/datasets/coral-traits,1,3,45
Dissolved oxygen concentration,https://opentraits.org/datasets/coral-traits,1,1,8
Phosphate concentration,https://opentraits.org/datasets/coral-traits,1,1,8
Salinity,https://opentraits.org/datasets/coral-traits,1,3,24
Light extinction coefficient,https://opentraits.org/datasets/coral-traits,1,3,15
Suspended particulate matter concentration,https://opentraits.org/datasets/coral-traits,1,2,21
Nitrite-nitrate concentration,https://opentraits.org/datasets/coral-traits,1,1,8
Individual identifier,https://opentraits.org/datasets/coral-traits,1,2,355
Colony part,https://opentraits.org/datasets/coral-traits,1,2,8
Fish predation controlled,https://opentraits.org/datasets/coral-traits,1,2,16
Shaded,https://opentraits.org/datasets/coral-traits,1,3,36
Plankton controlled,https://opentraits.org/datasets/coral-traits,1,3,36
Propagule age,https://opentraits.org/datasets/coral-traits,1,1,205
Rainfall,https://opentraits.org/datasets/coral-traits,1,2,4
Sunlight,https://opentraits.org/datasets/coral-traits,1,2,4
Damage,https://opentraits.org/datasets/coral-traits,1,1,4
Habitat transplanted from,https://opentraits.org/datasets/coral-traits,1,1,4
Fish association controlled,https://opentraits.org/datasets/coral-traits,1,1,12
Colony surface area,https://opentraits.org/datasets/coral-traits,1,1,12
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/jeppsson-2014,6,111,770
Morphology/Body size,https://opentraits.org/datasets/jeppsson-2014,1,111,134
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/passerine-morphology,19,1718,44969
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/sohlstrom-2018,3,234,19616
Leaf area (in case of compound leaves: leaflet,https://opentraits.org/datasets/try,1,14852,91179
Physiology,https://opentraits.org/datasets/try,810,47938,1576650
UNCATEGORIZED_TRAIT,https://opentraits.org/datasets/try,964,114605,5455231
Morphology,https://opentraits.org/datasets/try,67,263066,2518800
Leaf area (in case of compound leaves: leaf,https://opentraits.org/datasets/try,1,9899,92724
Leaf area (in case of compound leaves undefined if leaf or leaflet,https://opentraits.org/datasets/try,1,5988,25676
Leaf area per leaf dry mass (specific leaf area,https://opentraits.org/datasets/try,1,16640,308596
Leaf texture (sclerophylly,https://opentraits.org/datasets/try,1,8311,45311
Phenology,https://opentraits.org/datasets/try,6,32329,254113
Interaction,https://opentraits.org/datasets/try,16,7918,134760
Leaf dry mass per leaf fresh mass (leaf dry matter content,https://opentraits.org/datasets/try,1,6917,220804
Stem dry mass per stem fresh volume (stem specific density,https://opentraits.org/datasets/try,1,1006,7247
Movement,https://opentraits.org/datasets/try,4,21999,412357
Stem conduit diameter (vessels,https://opentraits.org/datasets/try,1,6387,15222
Leaf density (leaf tissue density,https://opentraits.org/datasets/try,1,4454,44822
Root type,https://opentraits.org/datasets/try,1,5667,12151
Bark persistence (deciduous,https://opentraits.org/datasets/try,1,1086,3607
Bark surface structure,https://opentraits.org/datasets/try,1,1670,2360
Leaf emergences (pubescence,https://opentraits.org/datasets/try,1,3293,32063
Stem emergences (pubescence,https://opentraits.org/datasets/try,1,1138,12053
Leaf angle (inclination,https://opentraits.org/datasets/try,1,5737,52918
Habitat,https://opentraits.org/datasets/try,11,15052,104904
Phenology?,https://opentraits.org/datasets/try,3,2264,2323
Fine root persistence (lifespan,https://opentraits.org/datasets/try,1,31,458
Fine root (absorptive) persistence (lifespan,https://opentraits.org/datasets/try,1,83,496
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root length,https://opentraits.org/datasets/try,1,747,2407
Reproduction/Life cycle? and/or Phenology?,https://opentraits.org/datasets/try,1,4402,12662
Plant growth rate relative (plant relative growth rate,https://opentraits.org/datasets/try,1,902,5885
Reproduction,https://opentraits.org/datasets/try,3,4200,19929
Fine root length per fine root dry mass (specific fine root length,https://opentraits.org/datasets/try,1,1106,5721
Morphology? and/or Movement?,https://opentraits.org/datasets/try,12,6553,472027
Plant dead organ retainment: leaves,https://opentraits.org/datasets/try,1,288,390
Bark secondary compounds: oil,https://opentraits.org/datasets/try,1,1080,2159
Xylem hydraulic vulnerability,https://opentraits.org/datasets/try,1,823,10746
Flower sexual syndrome (dichogamy,https://opentraits.org/datasets/try,1,1684,5729
Litter (other than leaf: twigs,https://opentraits.org/datasets/try,1,52,1061
Plant carbon (C) allocation to root,https://opentraits.org/datasets/try,1,100,448
Plant vegetative�reproduction: spread�distance�,https://opentraits.org/datasets/try,1,95,95
Shoot emergences (pubescence,https://opentraits.org/datasets/try,1,1352,3621
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio,https://opentraits.org/datasets/try,1,841,4594
Fine root (transport) length per transport fine root dry mass (specific transport fine root length,https://opentraits.org/datasets/try,1,127,517
Litter SLA (leaf area per leaf dry mass,https://opentraits.org/datasets/try,1,138,513
Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency,https://opentraits.org/datasets/try,1,111,140
Physiology? and/or Interation?,https://opentraits.org/datasets/try,12,24,162
Wood vessel: dark staining substances in vessels and/or fibers (gum,https://opentraits.org/datasets/try,1,370,380
Root length per root dry mass (specific root length,https://opentraits.org/datasets/try,1,518,2932
Phenology? and/or Reproduction/Life history?,https://opentraits.org/datasets/try,2,2958,44583
Stomata conductance model parameter (Ball-Berry,https://opentraits.org/datasets/try,1,50,320
Seed number per inflorescence (total,https://opentraits.org/datasets/try,1,760,2794
Reproduction?,https://opentraits.org/datasets/try,1,1793,15723
Mycorrhizal colonization: fraction of root length with mycorrhizla hyphae,https://opentraits.org/datasets/try,1,186,612
Wood mechanical property: flexual stiffness,https://opentraits.org/datasets/try,1,71,563
Root tips per fine root dry mass (specific fine root tip abundance,https://opentraits.org/datasets/try,1,103,1037
Coarse root length per coarse root dry mass (specific coarse root length,https://opentraits.org/datasets/try,1,21,23
Stem cross-sectional area tissue types: pith,https://opentraits.org/datasets/try,1,85,261
Plant biomass and allometry: Leaves per plant (emergent,https://opentraits.org/datasets/try,1,90,9270
Stomata pore area per leaf surface area (abaxial,https://opentraits.org/datasets/try,1,24,90
Xylem hydraulic vulnerability curve (P20,https://opentraits.org/datasets/try,1,37,20574
Root tips per absorptive fine root dry mass (specific absorptive fine root tip abundance,https://opentraits.org/datasets/try,1,101,125
Plant biomass and allometry: Branch dry mass (alive,https://opentraits.org/datasets/try,1,21,1908
Root dry mass per root volume (root density,https://opentraits.org/datasets/try,1,17,17
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant organ length,https://opentraits.org/datasets/try,1,68,208
Stem dry mass per stem fresh mass (stem dry matter content,https://opentraits.org/datasets/try,1,128,579
Flower onset of flowering (first flowering date,https://opentraits.org/datasets/try,1,34,50
Plant biomass and allometry: Supportive structure (stem,https://opentraits.org/datasets/try,1,28,755
Leaf and leaf-structures fresh to dry shrinkage ratio (length,https://opentraits.org/datasets/try,1,20,3334
Wood fibers absent in the center,https://opentraits.org/datasets/try,1,459,497
Fine root (transport) persistence (lifespan,https://opentraits.org/datasets/try,1,14,44
Root persistence (lifespan,https://opentraits.org/datasets/try,1,61,108
Twig (fine branch smaller 2mm) dry mass per twig fresh mass (twig dry matter content,https://opentraits.org/datasets/try,1,42,42
Belowground plant organ persistence (lifespan,https://opentraits.org/datasets/try,1,10,30
Leaf dry mass per fresh mass (cotyledons,https://opentraits.org/datasets/try,1,10,58
Leaf area per dry mass (cotyledons,https://opentraits.org/datasets/try,1,11,65
Root nitrogen (N) uptake preference: ammonium (NH4+),https://opentraits.org/datasets/try,1,14,25
Plant relationship of stem mass,https://opentraits.org/datasets/try,1,8,35
Coarse root ratio of 3,https://opentraits.org/datasets/try,1,1,2
Fine root (absorptive) ratio of 3,https://opentraits.org/datasets/try,1,1,3
Fine root (absorptive) lifespan: fraction of absorptive fine roots that live to the age in �absorptive fine root age�,https://opentraits.org/datasets/try,1,3,173
Fine root nitrogen (N) uptake preference: ammonium (NH4+),https://opentraits.org/datasets/try,1,8,11
Root lifespan: fraction of roots that live to the age in �root age�,https://opentraits.org/datasets/try,1,1,13
Fine root lifespan: fraction of fine roots that live to the age in �fine root age�,https://opentraits.org/datasets/try,1,5,170
Fine root forks per fine root dry mass (specific fine root forks density,https://opentraits.org/datasets/try,1,1,3
Root tips per root dry mass (specific root tip abundance,https://opentraits.org/datasets/try,1,28,126
Litter (cone,https://opentraits.org/datasets/try,1,2,56
Reproduction/Life history,https://opentraits.org/datasets/try,1,1,6
Leaf respiration rate in the dark minus respiration in light,https://opentraits.org/datasets/try,1,10,16
Physiology?,https://opentraits.org/datasets/try,1,21,520
